+----------------------------------------------------------------------------------------------+
|                                         kst_nofails                                          |
+-----+------------------+--------------------+--------------------+------------------+--------+
|  SN |      c-diff      |      t0-diff       |      x0-diff       |     x1-diff      | z-diff |
+-----+------------------+--------------------+--------------------+------------------+--------+
|  1  |  0.045699907003  | -0.00545340000099  |  -0.042683530858   |  -0.0019441717   |  0.0   |
|  2  |  0.077896949406  |  0.00486850000016  |  -0.004900182145   |  -0.01507830548  |  0.0   |
|  3  |  0.075011270704  |  0.00306740000087  | -0.00093509877844  |  0.01046985635   |  0.0   |
|  4  | 0.0451322634195  |  -0.0190858999995  | -4.6079396032e-05  |  -0.01811933696  |  0.0   |
|  8  |  0.007016847579  |  -0.0054078999965  |  -0.0003692577568  |  -0.00670570738  |  0.0   |
|  10 |  0.046772982483  |  -0.0632820999963  | -2.4838686116e-05  |  0.56370944723   |  0.0   |
|  11 |  0.090705173529  |  -0.0170438999994  | -0.00061573537418  |  -0.00646979802  |  0.0   |
|  12 |  0.656507560646  |  -0.0311643000023  |  -0.0303282169968  |  -0.02250547596  |  0.0   |
|  14 |  0.057482343312  |  0.0212677000018   | -0.00031058100652  |  0.049456712139  |  0.0   |
|  15 |  0.222305588735  |  0.0235628999944   | -0.000599647769104 |  -0.02707965221  |  0.0   |
|  16 | -0.022283964818  |  0.0619719000024   |  -2.609750007e-05  |  0.02900508133   |  0.0   |
|  18 | -0.010654744346  |  0.00922910000372  | -7.2647450447e-05  |  0.03328421573   |  0.0   |
|  19 |  0.069437315324  |  0.00868269999773  | -0.000171588450558 |  0.013054349302  |  0.0   |
|  20 |  0.132711716269  | -0.00854719999916  |   -0.61979227974   | -0.006719813009  |  0.0   |
|  21 |  0.763933296491  |  0.0385255000001   |  -0.0063072615584  |  0.16855913752   |  0.0   |
|  22 |  0.960753360623  |  -0.143313200002   |  -0.0107010952897  |  -0.11574453311  |  0.0   |
|  23 |  0.419335066426  |  0.00890989999607  |  -0.0166365864216  |   0.0124293312   |  0.0   |
|  24 |  0.052185880841  |  -0.0151888000037  | -0.00035878330805  |  -0.00173456958  |  0.0   |
|  25 |  0.023254368674  | -0.000454500004707 | -0.00016288411083  | -0.0205780510111 |  0.0   |
|  26 |  0.030121895005  |  -0.0874365000054  | -2.1190402701e-05  | -0.135975039535  |  0.0   |
|  27 |  0.113333349536  |  -0.0844149999975  | -0.00023185340959  |  -0.04936591209  |  0.0   |
|  30 | -0.0493290660453 |  0.0644594000041   |  -8.890634511e-06  |  0.07070460467   |  0.0   |
|  32 | 0.0743925882585  |  0.0366939999949   | -0.000115643710276 |  -0.02715795749  |  0.0   |
|  33 | 0.0783767124244  |  -0.020955800006   | -0.00181800706827  | -0.0370403556202 |  0.0   |
|  34 |  0.222337992984  | -0.00671909999801  |  -0.018517631152   |  -0.00387761108  |  0.0   |
|  35 |  0.045265190344  |  0.0157202000046   |  -0.0025400037564  |  0.00206263972   |  0.0   |
|  36 |  0.636296261902  |  0.0303006999966   | -0.00584337282913  |  0.03667180665   |  0.0   |
|  37 |  0.109702617587  |  -0.0795971999978  | -0.00083645475584  | -0.058110525453  |  0.0   |
|  38 |  0.141290841331  |  -0.0229069999987  | -0.000380901797562 |  -0.03400632896  |  0.0   |
|  39 |  0.023665161195  |  0.00584109999909  | -0.00023755569067  |  0.01102789693   |  0.0   |
|  40 |  0.154421340674  |  -0.0819123999972  | -0.000250532683355 |  -0.05178591603  |  0.0   |
|  42 |  0.002648238396  | 0.000845200003823  |  -9.071440297e-05  |  0.00082280527   |  0.0   |
|  43 |  0.362635629881  |  0.0237453000009   |  -0.0101055831719  |  0.01095227816   |  0.0   |
|  45 |  0.023494295147  |  0.0764634000006   | -4.6413111235e-05  |  0.02998791811   |  0.0   |
|  46 |  0.05411648336   |  0.0573755000005   | -8.9306433952e-05  |  0.008631139767  |  0.0   |
|  47 |  0.182121270503  |  0.0192021999974   | -0.00218342119743  |  -0.00063134007  |  0.0   |
|  48 |  0.01866071796   |  -0.0793382999982  |  3.0533427006e-05  |   0.1291467238   |  0.0   |
|  49 | 0.0189397745512  |   0.019782000003   |  -4.955562731e-05  |  0.10280535752   |  0.0   |
|  50 |  1.83743405997   |  -0.0540121000013  |   -1.01752925009   |  0.041870519464  |  0.0   |
|  51 | 0.0538552887169  |  -0.0468804999982  | -0.00011047834297  |  -0.11294451143  |  0.0   |
|  52 |  0.775941219977  | -0.00144790000195  |  -0.0279815088451  |  -0.00384706653  |  0.0   |
|  53 |  0.009436926741  |  -0.017926499997   | -0.00018480262057  |  -0.00168727416  |  0.0   |
|  54 |  0.115495818068  |  0.0616134000011   | -0.000263657394116 |  0.14511147127   |  0.0   |
|  55 |  0.089283688074  |  -0.0265561000051  |  -0.0126074760771  |  -0.03844930227  |  0.0   |
|  56 |  0.159090104615  |  0.0324479999981   | -0.000525376681235 |  -0.0682999334   |  0.0   |
|  57 | 0.0728799125071  |  -0.257035199997   |  0.00013353339632  |  -0.77238131604  |  0.0   |
|  58 |  0.688173760097  | -0.000846599999932 |  -0.0203761618008  |  0.01239058108   |  0.0   |
|  59 |  0.134840748969  |  0.0491747999986   | -0.000330657579703 |  0.08564787554   |  0.0   |
|  60 |  0.409961187475  |  -0.113745900002   | -0.00128131159921  | -0.091662018631  |  0.0   |
|  61 |  0.116488553114  |  -0.0192489999972  | -0.00097229608176  |  -0.02247508782  |  0.0   |
|  62 |  0.312885551177  | -0.00492230000236  | -0.00295597430036  |  0.05321320934   |  0.0   |
|  63 |  0.084364144668  |  -0.0691149000049  | -0.000206944205493 | -0.126478124574  |  0.0   |
|  64 |  0.162665015288  |  -0.0201239000016  | -0.000186827334719 |  -0.01098412506  |  0.0   |
|  65 |  0.893299092259  |  -0.0435425000032  |  -0.141150405533   |  0.00875544121   |  0.0   |
|  66 |  0.209544605114  |  -0.033497700002   | -0.000570990706926 |  -0.02874181375  |  0.0   |
|  67 |  0.009937212871  |  0.0469858999932   | -0.00011648483394  |  0.03515608802   |  0.0   |
|  68 | -0.021601801014  |  -0.0110344999994  | -0.000119799295953 | -0.025495726183  |  0.0   |
|  69 |  0.019124138029  |  -0.0386453000028  |  -9.870125393e-05  |  -0.01095996984  |  0.0   |
|  70 |  0.147049801577  |  0.00108030000411  | -0.000297677070144 |  -0.02378229499  |  0.0   |
|  71 |  0.108096055915  | -0.00117319999845  |  -0.0013481221909  |  0.07984654776   |  0.0   |
|  72 |  0.009023964997  |  0.00947510000697  |  -0.001555133158   |  0.009129782251  |  0.0   |
|  73 |  0.189933793412  |  0.0148264000018   | -0.00333371757435  |  0.032978738459  |  0.0   |
|  75 |  -1.48881786195  |     -1.0684712     |  0.00622164046242  |  5.54133313856   |  0.0   |
|  76 | 0.0251069687464  |  0.0270565000028   | -0.00084735880664  |  0.01532990474   |  0.0   |
|  77 |  0.019921777223  |  0.0143394000042   | -0.000151285632341 |  -0.00597792692  |  0.0   |
|  78 |  0.065756723503  |  -0.081460399997   | -8.2177202715e-05  |  -0.05597809483  |  0.0   |
|  79 | 0.0029179110688  |  0.0272775000049   |  -6.032057041e-05  |  0.00244765543   |  0.0   |
|  80 |  0.01903692765   |  0.00405370000226  | -3.3790055188e-05  |  0.050914821904  |  0.0   |
|  81 | -0.001171152434  |  0.0406013000029   |  -6.43604469e-05   |  -0.02371752554  |  0.0   |
|  82 |  0.137170933135  |  -0.0257848000037  | -0.00130873379874  |  -0.01439009893  |  0.0   |
|  83 |  0.14222921843   |  -0.0387371000033  |  -0.0023096518586  |  -0.06446757927  |  0.0   |
|  84 |  -1.25091305072  |     32.7470407     |  0.0115825926247   |   -78.35307546   |  0.0   |
|  85 |  0.048804604528  | -0.00627169999643  | -0.00039437544177  |  -0.07186028195  |  0.0   |
|  86 |  0.169514618494  |  -0.0187714999993  | -0.00109415404822  |  -0.00482400976  |  0.0   |
|  87 |  0.099886772947  |  -0.0668963999997  | -0.000242560539406 |  -0.06313461187  |  0.0   |
|  88 |  0.051664823551  |  0.0112145000021   | -7.0227987807e-05  |  -0.07444252659  |  0.0   |
|  89 |  0.062482041864  |  -0.0390686999963  | -0.00136552430795  |  -0.03768417435  |  0.0   |
|  90 |  0.14537700626   |  -0.0197147999934  | -0.00221904067013  | -0.039674788752  |  0.0   |
|  91 |  0.166804271146  |  -0.0281385000053  | -0.00239339274363  |  -0.13013505597  |  0.0   |
|  92 |  0.087456909131  |  -0.0018257000047  |  -0.0148972230404  |  -0.00590771579  |  0.0   |
|  94 |  0.125267688963  |  -0.011685599995   |  -0.0010948510957  |  -0.00046668417  |  0.0   |
|  95 |  0.048009188447  |  0.0043141999995   |   -0.03220190365   |  0.013271408604  |  0.0   |
|  96 |  0.112288515524  |  0.0246333000032   | -0.00115100695168  |  0.01473191734   |  0.0   |
|  97 |  0.505737846789  |  0.0578848000005   |  -0.014948331612   |  0.09425016009   |  0.0   |
|  98 |  0.178689942392  |  0.0144978999961   | -0.000643811463591 |  0.02822773079   |  0.0   |
| 100 |  1.00595247693   |  0.0766020999945   |  -0.0216911420848  |  0.07843373327   |  0.0   |
+-----+------------------+--------------------+--------------------+------------------+--------+
