+-------------------------------------------------------------------------------------------------------------+
|                                                     kst                                                     |
|    SN   |      c-diff      |      t0-diff       |      x0-diff       |      x1-diff      |      z-diff      |
|    1    |  0.034275391431  |     0.0147373      |  -8.227380608e-05  |    0.0226970792   |       0.0        |
|    2    |  0.28978742608   |  -0.0307121000005  | -0.000888838669204 |   -0.16648964735  |       0.0        |
|  error3 |  0.303565813965  |   57794.2939842    | 0.000903029340047  |   0.39724334762   | 0.0642851225512  |
|    4    |  0.407792274587  |  -0.0052627000041  |   -1.13600860462   |  -0.0001560765764 |       0.0        |
|    5    | -0.0262783731676 | -0.00516090000019  |  -6.501074074e-06  |   0.03535171712   |       0.0        |
|    6    |  0.025490738438  |  -0.0320831000063  | -0.00058388178362  |   -0.0102535024   |       0.0        |
|    7    |  0.013129557409  |  0.0242633000016   |  -0.0012384024211  |   0.00433228808   |       0.0        |
|    8    | 0.0264790860994  | -0.000627000001259 |  -0.014278177173   |   -0.00404083401  |       0.0        |
|    9    |  0.015575781291  |  0.00119160000031  |   -0.12593083824   |   0.002841945211  |       0.0        |
|    10   |  0.108922423544  |  0.0208132999978   | -0.00073037149651  |   0.00281429147   |       0.0        |
|    11   |  -1.97002063084  |     2.9203685      |   0.12491487609    |   4.52575865851   |       0.0        |
|    12   |  0.033881806642  |  -0.0794574999964  |  -3.778382283e-05  |   -0.10109438052  |       0.0        |
|    13   | 0.0766496319941  |  -0.0317321000039  | -0.000102930229922 |   -0.04885400273  |       0.0        |
|    14   |  0.139203219163  |  0.00922939999873  |  -0.006856452537   |   0.00955304091   |       0.0        |
|    15   | -0.025402477255  |  -0.007128499994   |  -5.319469192e-05  |   0.01951925731   |       0.0        |
|    16   |  0.348368415631  |  -0.0460106000028  | -0.00485128403277  |   -0.0525549517   |       0.0        |
|    17   |  0.542466392908  |  -0.0191363999984  |  -0.0258864741049  |  -0.053418879214  |       0.0        |
|    18   |  0.999066073865  |  -0.0277346000003  |  -0.0197511603632  |   0.086421944948  |       0.0        |
|    19   | -0.051360730265  |   0.101978899998   |   6.18773849e-06   |   0.08467115422   |       0.0        |
|    20   | -0.0075471851055 |  0.0668215000042   | -6.7229583786e-05  |   0.07338525925   |       0.0        |
|    21   |  0.069997231712  |  0.0348539999977   | -0.000121995494995 |   -0.05423692679  |       0.0        |
| error22 |  0.061736159059  |   57865.0824346    |  0.00457799544896  |   -2.13424299059  | 0.0292845312595  |
|    23   |  0.12545652259   |  0.00810920000367  | -0.00236865991108  |  0.0219239332198  |       0.0        |
|    24   |  0.314740363664  | -0.00572780000221  | -0.00118982877838  |   0.14143183148   |       0.0        |
| error25 | -0.231712348393  |   57996.8741052    |  0.0715180077248   |   -3.05165516561  | 0.00752935930451 |
|    26   |  0.280216164951  |  -0.0559417999975  | -0.000633544592969 |   -0.07939323219  |       0.0        |
|    27   | 0.0812275661541  |  0.0180166999999   | -0.00129731287227  |   0.053817036379  |       0.0        |
|    28   |  0.195565379475  |  0.00367530000221  | -0.00136530903381  |   -0.05749410003  |       0.0        |
|    29   |  0.319952046318  |  -0.014477699995   | -0.00103314854832  |   -0.03437145564  |       0.0        |
|    30   |  0.514747210242  |  -0.112664799999   | -0.00136305423205  |   -0.05501269241  |       0.0        |
|    31   |  0.04117155424   |  -0.0512593000021  | -0.00098201287954  |   -0.07454064958  |       0.0        |
|    32   | 0.0294268025518  |  0.00209670000186  |   -0.01600701962   |   0.00219582318   |       0.0        |
|    33   |  0.106785089681  |  -0.0348415999979  | -0.00381282335048  |   -0.00873610928  |       0.0        |
|    34   | -0.000145697508  |  -0.0308022000027  | -2.9270142168e-05  | 4.41678999952e-06 |       0.0        |
|    35   |  0.224776762709  |  -0.0194419999971  | -0.00109517296712  |   0.00645558626   |       0.0        |
|    36   |  0.542855791902  |  -0.0551037999976  | -0.00818948221754  |  -0.087027073838  |       0.0        |
|    37   | 0.0276940125024  |  0.00229469999613  |  -0.0095223812605  |   0.00035993652   |       0.0        |
|    38   |  0.130433733611  |  0.0164409000063   |  -0.0082023548805  |   0.00978480061   |       0.0        |
|    39   |  0.565645138263  |  -0.0256121999992  |  -0.243014587337   |   -0.01339700826  |       0.0        |
|    40   |  0.153849125595  |  -0.0437678000017  | -0.000437632348078 |  -0.027023202507  |       0.0        |
|    41   |  0.061362110158  |  0.0244746000026   | -0.00041234254434  |   -0.01419606872  |       0.0        |
|    42   | 0.0321159076643  |  -0.001236899996   |  -0.0026533237073  |   -0.00208789639  |       0.0        |
| error43 | -0.190837349336  |   57838.7369822    |  0.00052825454701  |   1.65945668802   | 0.0829431216478  |
|    44   |  0.069009995161  |  -0.0337695999988  | -0.00103169696337  |   0.10222243369   |       0.0        |
|    45   |  0.262380701007  |  0.0169716000019   |  -0.0047647455188  |   0.017850189959  |       0.0        |
| error46 | -0.189828791406  |   57943.1943084    |  0.00909386048525  |   -2.6689142893   | 0.0209064513338  |
|    47   |  0.937044495192  |  -0.0213500000027  |  -0.455603435509   |  -0.006137772631  |       0.0        |
|    48   |  0.038377462091  |  0.0116572999978   | -0.00110451712125  |   0.02693704981   |       0.0        |
|    49   |  0.06479815011   |  0.0204710000035   | -0.00113165127705  |   0.15512109644   |       0.0        |
|    50   | 0.0980196335737  |  -0.0188141000035  | -0.000101376920464 |   -0.09458400857  |       0.0        |
|    51   |  0.160974268143  |  -0.0298237000025  | -0.000374815081264 |   -0.14147026409  |       0.0        |
|    52   |  0.347992246081  |  0.0220422999992   | -0.00144180154277  |   0.002487097526  |       0.0        |
|    53   |   0.335357701    | -0.00635979999788  | -0.00123110491095  |  -0.110682842939  |       0.0        |
|    54   |  0.006314025692  |  -0.0470608000032  |  0.00019260928178  |   -0.06126679336  |       0.0        |
|    55   | 0.0298799029302  |  -0.016727000002   | -0.000153640169967 |   -0.01208239104  |       0.0        |
|    56   | 0.0844311948872  |  -0.0130886999978  |  -0.0036756351806  |   -0.00088998841  |       0.0        |
|    57   |  0.167703513048  |  0.00477509999473  |  -0.0082225946496  |   -0.00342885851  |       0.0        |
|    58   |  0.11968701829   |  -0.0753222999992  |  -0.002594278201   |   0.08270741173   |       0.0        |
|    59   |  1.14875649537   |  -0.0866405000052  |  -0.0284196155085  |   -0.07216935886  |       0.0        |
|    60   |  0.117489915445  |  -0.0251820999983  |  -0.0136115770497  |   -0.01688481402  |       0.0        |
|    61   | 0.0367213402222  |  -0.0198383000024  | -0.00032429309235  |   -0.0041723601   |       0.0        |
|    62   |  0.106809289433  |  0.0460584999964   | -0.00025929036489  |   0.00013200738   |       0.0        |
|    63   | 0.0421705999792  |  0.00554939999711  |  -0.0037657864334  |   0.00722163761   |       0.0        |
|    64   |  -3.15326216241  |   0.272106600001   |  0.00341845193101  |   1.85062134725   |       0.0        |
|    65   |  0.040132738028  |  0.0204376999973   | -0.00167206607618  |   0.015746432022  |       0.0        |
|    66   |  0.059047418914  |  -0.0706384000005  | -8.7578300212e-05  |   -0.14824321483  |       0.0        |
|    67   | 0.00599176810886 |  0.0212406999999   | -4.3245434717e-05  |   0.079528704667  |       0.0        |
|    68   |  0.058084357216  |  -0.033191399998   |  -6.418669917e-05  |   -0.0301893404   |       0.0        |
|    69   |  0.059162182335  |  -0.0238309999986  |  -0.0002431092542  |   -0.03090660856  |       0.0        |
|    70   | -0.010682820409  |  -0.0592892999994  | -0.00020206602452  |   0.34815167893   |       0.0        |
|    71   | 0.0796016204488  |  -0.0143300999989  | -3.3156568552e-05  |   0.42914387311   |       0.0        |
|    72   |  0.081821338087  |  -0.0140551000004  |  -0.0170042942555  |   -0.01909767925  |       0.0        |
|    73   | 0.0855974500003  |  -0.0428409000015  | -0.00085711784927  |   -0.05145779619  |       0.0        |
|    74   |  0.149073944754  | -0.00553479999508  |  -0.0107548475894  |   0.01734519154   |       0.0        |
|    75   | 0.0120242792861  | -0.000246900002821 |  -0.020411411152   |   -0.00124897637  |       0.0        |
|    76   |  0.248398978231  |  0.00668849999784  |  -0.0016007479888  |   -0.0075434843   |       0.0        |
|    77   |  0.030308592551  |  -0.0262452999959  | -5.2455711804e-05  |   -0.00173692528  |       0.0        |
|    78   |  0.63572916397   |  0.0677719999949   | -0.00346796898201  |   0.01626224795   |       0.0        |
|    79   |  0.039872644605  |  0.0339219000016   |  -0.0026013607906  |   0.10747329827   |       0.0        |
|    80   |  0.143830043019  |  -0.057813499996   | -0.000197412761145 |   -0.02843993129  |       0.0        |
|    81   | 0.0325220431348  |  -0.0782203999988  | -0.00013855849722  |   0.36040483963   |       0.0        |
|    82   |   1.0078762343   |  0.0372825000013   |  -0.023364333963   |   0.25341614746   |       0.0        |
|    83   | -0.033215827276  |  0.0818135000009   | -0.000125587801342 |   0.08262248339   |       0.0        |
|    84   |  0.189116169058  |  -0.0584703999994  | -0.00169508501018  |   -0.07085318654  |       0.0        |
|    85   |  0.092216853571  |  0.0103479999962   |  -0.0120828464716  |   0.04812273031   |       0.0        |
|    86   |  0.02008634472   | -0.00630459999957  |  -0.0028006728602  |    -0.002791718   |       0.0        |
|    87   |  0.482770057754  |  -0.0745258000024  | -0.00421155727781  |   -0.11712088212  |       0.0        |
|    88   |  0.358045087096  |  0.00175360000139  |  -0.0202149596341  |   0.02418035384   |       0.0        |
|    89   |  0.952672463348  |  -0.122177900004   |  -0.017031412419   |   -0.00238010834  |       0.0        |
|    90   |  0.39390076015   |  -0.0170490000019  | -0.00377890464474  |   -0.05680515005  |       0.0        |
|    91   |  0.015625140822  |  -0.159486999997   |   0.017666279994   |   -0.24509048538  |       0.0        |
|    92   |  -4.30006824055  |  -0.171868400001   |  0.00083439457891  |   1.24635397162   |       0.0        |
|    93   |   0.0620444544   |  -0.0147546000007  | -2.9092066336e-05  |   -0.15858391827  |       0.0        |
|    94   | -0.031296513606  |  -0.0145817000011  |   4.6974941e-06    |  -0.002853245379  |       0.0        |
|    95   |  1.07227978706   |  -0.0320183000003  |  -0.0376310154998  |   0.10188317986   |       0.0        |
|    96   |  0.432073861595  |  -0.0102917999975  |  -0.0103229468526  |   -0.01701114172  |       0.0        |
|    97   |  0.077968147143  | -0.00407759999507  | -0.000122428398361 |   -0.00776191534  |       0.0        |
|    98   | 0.0403794612134  |  0.00188489999709  | -0.00030931079584  |   -0.00892214486  |       0.0        |
|    99   | -0.0027829597184 |  -0.0252564000039  | -1.5912860569e-05  |   0.00800081037   |       0.0        |
|   100   | 0.0646582757286  |  0.0271866999974   | -0.00119850981124  |   0.03905022382   |       0.0        |
