SN38: c:-0.509535224702 t0:58111.7743171 x0:0.0108347397249 x1:2.68504826248 z:0.0444409046758 
SN39: c:-0.272465101506 t0:57944.2956868 x0:0.00229762376081 x1:0.745025157445 z:0.0423627983549 
SN40: c:0.112249398639 t0:57997.5849404 x0:0.000639993375394 x1:-5.04109323107 z:0.0910941280798 
SN41: c:0.111321278104 t0:57926.4671089 x0:0.0111978996947 x1:-6.74918329441 z:0.0192403438074 
SN42: c:0.353296773992 t0:57867.9972173 x0:0.0488097640567 x1:-6.82344092048 z:0.00464698689451 
SN43: c:-0.104121507175 t0:57964.0612152 x0:0.0583947364101 x1:-0.0855818064932 z:0.00931269119277 
SN44: c:-0.0924158360609 t0:57759.8780238 x0:0.00121866327427 x1:-2.23378384991 z:0.056341916106 
SN45: c:-0.523785091811 t0:58016.7989193 x0:0.0131595158635 x1:0.428053721116 z:0.0203617480251 
SN46: c:-0.301130199951 t0:57818.5070308 x0:0.080761532348 x1:3.80391214615 z:0.00727822542376 
SN47: c:0 t0:0 x0:0 x1:0 z:0 
SN48: c:-0.281985737796 t0:57988.5097573 x0:0.00343355446718 x1:-1.78328679297 z:0.0431483876999 
SN49: c:-0.066889258604 t0:57943.8435191 x0:0.00445990003758 x1:-2.19249330745 z:0.0531871768957 
SN50: c:-0.169325244339 t0:57791.6006665 x0:3.28160427162 x1:1.03698516357 z:0.00124160795443 
SN51: c:0 t0:0 x0:0 x1:0 z:0 
SN52: c:-0.375928460736 t0:57926.8037623 x0:0.000846511049178 x1:-3.5931947622 z:0.0755062402837 
SN53: c:0 t0:0 x0:0 x1:0 z:0 
SN54: c:-0.158921829209 t0:58002.1635117 x0:0.001226800895 x1:-5.31408958667 z:0.0574149950544 
SN55: c:0 t0:0 x0:0 x1:0 z:0 
SN56: c:-0.0813239623865 t0:57877.5081377 x0:0.00212558968402 x1:4.56976819822 z:0.0442654692676 
SN57: c:0.268643773525 t0:57968.0394065 x0:0.000424474416066 x1:0.669609016549 z:0.0942059900422 
SN58: c:-0.249100469781 t0:58059.8319196 x0:0.00154597412095 x1:2.36545547851 z:0.0517584337242 
SN59: c:0 t0:0 x0:0 x1:0 z:0 
SN60: c:0.2271353648 t0:58010.0997802 x0:0.000560697543294 x1:-0.0550734025613 z:0.0882013931017 
SN61: c:-0.474210739185 t0:58023.9568611 x0:0.0092753586052 x1:-0.735536264458 z:0.0440310999273 
SN62: c:0.0537572088173 t0:57791.0531942 x0:0.0198742799515 x1:5.22828030505 z:0.0148327058132 
SN63: c:-0.316189055391 t0:57772.1288686 x0:0.0312896142934 x1:0.979363363819 z:0.0162248695428 
SN64: c:0.0278723328963 t0:58020.7663002 x0:0.00195815183769 x1:4.20810740075 z:0.0489498177643 
SN65: c:0.504096825798 t0:58114.4031064 x0:0.00443654282799 x1:-1.12848795552 z:0.033470703551 
SN66: c:0.118076576495 t0:57969.4006853 x0:0.0004650380049 x1:1.76215946615 z:0.0927946133707 
SN67: c:-0.29098158625 t0:57843.2453716 x0:0.0127951900502 x1:2.70075573644 z:0.0438300475873 
SN68: c:0.195605128675 t0:57787.597317 x0:0.000865534863155 x1:5.66506311302 z:0.0693970148215 
SN69: c:0.00760171070346 t0:57941.0695502 x0:0.0011168439153 x1:-2.26178520947 z:0.0788623252266 
SN70: c:-0.369605128836 t0:57805.5016854 x0:0.000392230466691 x1:-1.4509924208 z:0.0964069833807 
SN71: c:-0.248471569082 t0:58031.3187229 x0:0.000752628866556 x1:0.934073213328 z:0.0690040449315 
SN72: c:-0.131146688144 t0:57992.361767 x0:0.00117124840593 x1:4.649295225 z:0.0645024824834 
SN73: c:0 t0:0 x0:0 x1:0 z:0 
SN74: c:-0.253640178706 t0:57870.8722231 x0:0.000407143266697 x1:4.54779895282 z:0.0949179146789 
SN75: c:0.0665038673718 t0:57889.183494 x0:0.0012287085095 x1:-7.11124500377 z:0.0594103117306 
SN76: c:-0.201168783001 t0:57766.1557561 x0:0.00109759973898 x1:-5.11988863416 z:0.0787788348139 
SN77: c:-0.202338560203 t0:58032.9047909 x0:0.000567663536794 x1:-0.626451548614 z:0.0942680589175 
SN78: c:-0.487140530452 t0:57970.7127139 x0:0.128376322642 x1:-1.44807951095 z:0.00615344210098 
SN79: c:-0.114089922597 t0:58092.6005195 x0:0.00128142398674 x1:-3.65998719606 z:0.0544151154368 
SN80: c:-0.36799505722 t0:57815.5337786 x0:0.00868654560744 x1:-4.50074933347 z:0.0289458218618 
SN81: c:-0.00875914219331 t0:58056.5399425 x0:0.00134074309981 x1:-0.562377984238 z:0.0576760378895 
SN82: c:-0.0644740631369 t0:57905.5776094 x0:0.000896370625159 x1:2.90315584506 z:0.0817245480742 
SN83: c:0.0818089136855 t0:57760.0523614 x0:0.000750532523813 x1:-1.88063678414 z:0.0741695940593 
SN84: c:0.220761300894 t0:57886.3764393 x0:0.00500691160622 x1:3.66150548535 z:0.0284660224987 
SN85: c:-1.02099021591 t0:58085.2698653 x0:2.33843011237 x1:2.65423675187 z:0.00549946352188 
SN86: c:0 t0:0 x0:0 x1:0 z:0 
SN87: c:-0.430231001686 t0:58014.0005566 x0:0.0229084828548 x1:4.2962484126 z:0.0139378718771 
SN88: c:-0.338430918913 t0:57820.2514363 x0:0.000713356282827 x1:-5.62082400714 z:0.0821797789696 
SN89: c:0.240320676363 t0:57815.1393847 x0:0.0026936926694 x1:1.43225047216 z:0.0397774710384 
SN90: c:-0.293646837267 t0:57944.274081 x0:0.000523137224727 x1:-1.13707981792 z:0.0977690617397 
