SN1: c:0.247481637714 t0:57801.3655884 x0:0.000746410177775 x1:1.12858648698 z:0.0746784849407 
SN2: c:-0.135240996762 t0:57797.4759261 x0:0.00402365757611 x1:3.43795969957 z:0.0608557074744 
SN3: c:0.14627506216 t0:57949.3113967 x0:0.00970009652991 x1:-0.259515404102 z:0.0258019401421 
SN4: c:-0.164568076302 t0:58075.6533712 x0:0.000795179310156 x1:-1.28196702248 z:0.0760153565493 
SN5: c:-0.0543590692686 t0:57803.9585286 x0:0.0104320380127 x1:-1.04224299792 z:0.0216271168785 
SN6: c:0.444673017721 t0:57851.1567426 x0:0.00104554708602 x1:2.57148595182 z:0.0700548192736 
SN7: c:-0.922760263697 t0:58044.2497351 x0:0.00613278132912 x1:-0.46036475645 z:0.0303283640413 
SN8: c:0.281021105399 t0:57930.4770398 x0:0.182015559418 x1:-6.49093136903 z:0.00488982432556 
SN9: c:0.357911913318 t0:57823.5224319 x0:0.000929129058835 x1:-4.01981995445 z:0.0695199215677 
SN10: c:0.336134216748 t0:57873.7285528 x0:0.00254385697351 x1:1.50761306207 z:0.0504760306193 
SN11: c:0.123571894201 t0:58104.5213728 x0:0.00297599998012 x1:1.12825379586 z:0.0495023323262 
SN12: c:0.356626167651 t0:57785.0880312 x0:0.00796378266779 x1:-0.0736891848599 z:0.0228234256309 
SN13: c:-0.475931651989 t0:58032.8748858 x0:0.00820384671386 x1:2.5049156313 z:0.0426967103761 
SN14: c:-0.389865091765 t0:57922.7297762 x0:0.22744378757 x1:2.11150818561 z:0.00468720790484 
SN15: c:-0.429454362387 t0:57908.9875416 x0:0.000694660547459 x1:4.72431767083 z:0.0859913093582 
SN16: c:0.281403740434 t0:57951.6845104 x0:0.0222129443392 x1:1.96022043657 z:0.0140448231727 
SN17: c:-0.0802726803859 t0:57772.9965063 x0:0.001344977605 x1:-3.07072206884 z:0.0559404565052 
SN18: c:-0.160246825729 t0:58040.1740837 x0:0.0299595775694 x1:0.388147597433 z:0.0374878242129 
SN20: c:-0.000224841340367 t0:57895.7974625 x0:0.0061401099776 x1:1.60347238656 z:0.0271956949961 
SN21: c:0.137667589025 t0:58088.6813942 x0:0.635295330667 x1:-2.17072145548 z:0.00294515570392 
SN22: c:-1.01381485529 t0:57913.4839169 x0:0.086117994064 x1:8.60161054312 z:0.0324075827829 
SN23: c:0.240038716202 t0:57862.9213037 x0:0.000727301224702 x1:-2.86574302559 z:0.0804610410647 
SN24: c:-0.494038971326 t0:57932.0932191 x0:0.000526870691768 x1:3.14173831719 z:0.0898653263798 
SN25: c:0.304249050175 t0:58008.0745261 x0:0.000701606050267 x1:-0.316689230059 z:0.0790444394057 
