+----+-------------------+------------------+-------------------+------------------+
| SN |      c-error      |     t0-error     |      x0-error     |     x1-error     |
+----+-------------------+------------------+-------------------+------------------+
| 1  | 0.000704430722073 | 0.00316830915535 |  0.00020055254825 | 0.00395297671203 |
| 2  |  0.00193228362912 | 0.00744699932249 | 4.35868488937e-05 | 0.0131059694565  |
| 3  |  0.00534404448888 | 0.0120453091231  | 2.12973340741e-05 | 0.00946568377797 |
| 4  |  0.0182009893389  |  0.042316638919  | 7.40092727327e-06 | 0.0329499988816  |
| 8  |  0.00558756355203 | 0.0106245681472  | 2.79474643627e-05 | 0.00965669719864 |
| 10 |  0.0264301960842  |  0.335883249498  | 2.06649270782e-05 |  0.316148988149  |
| 11 |  0.00461795574077 | 0.0196354769551  | 1.46811942878e-05 | 0.0208366933552  |
| 12 |  0.00415768046773 | 0.0231340598078  | 0.000143361586418 | 0.0341502116297  |
| 14 |  0.00668818245511 | 0.0306706006928  | 1.33196246453e-05 | 0.0357150107943  |
| 15 |  0.0106791869575  | 0.0367695678337  | 1.23100399931e-05 | 0.0371198341688  |
| 16 |  0.0100293471796  |  0.031363561053  | 1.19746135228e-05 | 0.0537085466232  |
| 19 |  0.00957505766033 | 0.0447897650956  | 6.52339213008e-06 | 0.0537257682442  |
| 20 | 0.000283960486418 | 0.00144988467439 | 0.000536344178351 | 0.0015920199213  |
| 21 |  0.0125856297245  | 0.0517544641181  | 7.65986921929e-05 | 0.0977503561955  |
| 22 |  0.0114306245986  |  0.051924516524  | 0.000128087359946 | 0.0714892361385  |
| 23 |  0.00251364449733 | 0.0155860489923  |  6.2500310523e-05 | 0.0186811637423  |
| 24 |  0.00598322834278 |  0.010426461869  | 1.44803885686e-05 | 0.00911184693797 |
| 25 |  0.00418675328568 | 0.0214124357123  | 1.17438599359e-05 |  0.024181812021  |
| 26 |  0.0114309771385  | 0.0450390078937  | 5.17791084232e-06 | 0.0630752891269  |
| 27 |  0.0114707360123  | 0.0390548867083  | 9.30709508131e-06 | 0.0313659909086  |
| 30 |  0.00936778317765 | 0.0297818786098  | 5.47971282581e-06 | 0.0602863745775  |
| 32 |  0.0118998668639  | 0.0519023371389  | 7.61330232623e-06 | 0.0611189586486  |
| 33 |  0.00309123255314 | 0.0128782727931  | 2.45252530878e-05 | 0.0189751876348  |
| 34 |  0.00182514454139 | 0.0071696790506  | 7.77583102033e-05 | 0.0140919575258  |
| 35 |  0.00299225956039 | 0.00897797899117 | 5.31714609228e-05 | 0.00613530453309 |
| 36 |  0.0108802513591  | 0.0384179210724  | 7.37109050967e-05 | 0.0282870664519  |
| 37 |   0.007145377648  | 0.0328700541851  | 2.05287202964e-05 | 0.0362936677543  |
| 38 |   0.007213898319  | 0.0212209775326  | 9.21899452162e-06 | 0.0155419944964  |
| 39 |  0.00485553126638 | 0.00698720716089 | 1.56047329202e-05 | 0.0145756286097  |
| 40 |  0.0124497247203  | 0.0386900592707  | 9.42798561083e-06 |  0.027342385658  |
| 42 |  0.00360875146821 | 0.0104308869567  | 1.81197947234e-05 | 0.00801496928842 |
