SN1: c:1.0817708667269613e-05 mwebv:0.6368299677757563 t0:58677.77628887571 x0:0.0035172085800150967 x1:-0.13156448585962513 z:0.03826458442501344 
SN2: c:-0.005851901328522206 mwebv:0.032874660382963966 t0:58915.0012474753 x0:0.00015302808194533375 x1:0.06487544208804524 z:0.13033867055693585 
SN3: c:-0.050776442111587 mwebv:0.013837832434471412 t0:58805.47228190837 x0:0.0003978303021118312 x1:-1.40920774544543 z:0.08509959583548046 
SN4: c:-0.03567168568895466 mwebv:0.0929255451404267 t0:58700.34267161813 x0:9.477378498840464e-05 x1:0.244094342489665 z:0.12916376576415753 
SN5: c:0.004264124822306611 mwebv:0.04346476905248074 t0:58921.187340796045 x0:0.00013189961497890677 x1:-0.42221174506026365 z:0.1467924710110916 
SN6: c:0.1022412246211756 mwebv:0.02058590741758349 t0:58586.56389828123 x0:0.0009591628952537528 x1:0.5049577256223405 z:0.08336961054870753 
SN7: c:-0.061721945404792464 mwebv:0.01036127102304344 t0:58933.75496928483 x0:0.00013112037700030205 x1:-0.025887563965911447 z:0.14528185840744576 
SN8: c:0.0544471167392856 mwebv:0.05955236369987694 t0:58701.18383561695 x0:0.00018158886774495854 x1:0.11993877615949794 z:0.1335860731673358 
SN9: c:-0.03460572950139975 mwebv:0.10959656882455623 t0:58917.22178373932 x0:0.00025296719920960784 x1:-0.22308158356012467 z:0.11586957756353475 
SN10: c:0.015573137834504954 mwebv:0.6530347362327797 t0:58603.460203252806 x0:0.0004885338199565867 x1:-0.35760822385475644 z:0.08038800082343882 
SN11: c:0.17472033752532726 mwebv:0.3758409771253578 t0:58824.19525474719 x0:0.0005238116310413069 x1:0.18089986255218396 z:0.08046456742664324 
SN12: c:-3.2091121715236355 mwebv:0.02902442436387787 t0:58884.192365222705 x0:0.003818598319108115 x1:-4.177377686907959 z:0.09935136398567716 
SN13: c:0.02942619545561158 mwebv:0.1293375633240822 t0:58726.67535097645 x0:0.0003648188442949883 x1:0.09421186870375958 z:0.08663408981013429 
SN14: c:0.08823560435512645 mwebv:0.4941085651331796 t0:58664.759960623946 x0:0.00029363238166409236 x1:-0.5268342955763925 z:0.12815444159700493 
