SN66: c:0.00649363489234 t0:0.0379262467154 x0:3.60574937267e-06 x1:0.052505703121 
SN67: c:0 t0:0 x0:0 x1:0
SN68: c:0.0676417963549 t0:1.70012130437 x0:0.000123397048856 x1:0.556034496207 
SN69: c:0.0472572486778 t0:0.0945660753977 x0:7.41562043e-05 x1:3.15593821436 
SN70: c:0.00959689890444 t0:0.0338772636433 x0:2.7801047674e-06 x1:0.0396367215213 
SN71: c:0.0123586526045 t0:0.102199311383 x0:9.82546402286e-06 x1:0.0677735629003 
SN72: c:0.00442409956183 t0:0.0250408719941 x0:5.34445173323e-06 x1:0.0483899333749 
SN73: c:0.247644251987 t0:0.201265691909 x0:0.000439149056997 x1:0.583778557499 
SN74: c:0.00786720944916 t0:0.0465261586275 x0:3.92396144004e-06 x1:0.0940825509117 
SN75: c:0.00402579003094 t0:0.0273471093527 x0:2.43379703418e-05 x1:0.0354573083765 
SN76: c:0.00619376753596 t0:0.0200176612119 x0:7.5951681763e-06 x1:0.0190309234895 
SN77: c:0.00869240515292 t0:0.0442329855801 x0:5.43254731908e-06 x1:0.0521764502845 
SN78: c:0.000686554206855 t0:0.00348671381951 x0:9.56929727379e-05 x1:0.0028285198753 
SN79: c:0.0568443708924 t0:0.0433238227698 x0:7.49179374283e-05 x1:0.054171046927 
SN80: c:0.00218550056005 t0:0.00886743388595 x0:1.91637125432e-05 x1:0.00759981268456 
SN81: c:0.00434801047085 t0:0.0293872252448 x0:6.72852716046e-06 x1:0.0297707963622 
SN82: c:0.00542608552925 t0:0.0453657104784 x0:5.4874710238e-06 x1:0.0548391996907 
SN83: c:0.00517438735327 t0:0.0264565690112 x0:5.02115674875e-06 x1:0.022800033553 
SN84: c:0.00193785607022 t0:0.0140392360144 x0:1.26402928508e-05 x1:0.0164729328377 
SN85: c:0.000482790408088 t0:0.00339663713869 x0:0.00137213926475 x1:0.00427740803314 
SN86: c:0.00054002775979 t0:0.00226388436949 x0:0.000134781357089 x1:0.00175888668046 
SN87: c:0.00115190835733 t0:0.00799251667214 x0:2.77835105995e-05 x1:0.0119928489879 
SN88: c:0 t0:0 x0:0 x1:0
SN89: c:0.00276514232936 t0:0.0191530250377 x0:9.85829608789e-06 x1:0.0169427101571 
SN90: c:0.00913277937756 t0:0.0457852392242 x0:4.23104217741e-06 x1:0.0536599425524 
SN91: c:0.00379517406548 t0:0.0246825550225 x0:5.86258574041e-06 x1:0.0280337439741 
SN92: c:0.00471717974834 t0:0.0244767357528 x0:6.73016562942e-06 x1:0.0192817570765 
SN93: c:0.00592226308535 t0:0.0148353252122 x0:4.2339487564e-06 x1:0.0130950197942 
SN94: c:0.0076391778521 t0:0.135223436427 x0:4.56390461339e-05 x1:0.201159980171 
SN95: c:0 t0:0 x0:0 x1:0
SN96: c:0 t0:0 x0:0 x1:0
SN97: c:0.00641375327737 t0:0.0202913791178 x0:3.78684682908e-06 x1:0.0189490945503 
SN98: c:0.00563692254733 t0:0.0251276944949 x0:6.6732513947e-06 x1:0.0429007087155 
SN99: c:0.00315550253995 t0:0.0126623552557 x0:1.7101231857e-05 x1:0.0131371653706 
SN100: c:0.000286950485791 t0:0.00192622605148 x0:0.000170134615625 x1:0.00232928885791 
