@c -0.018407596413189786
@x1 -1.3453049989593089
@mwebv 0.0620864373118203
@t0 58621.6529933775
@x0 0.0006203818160466308
@z 0.121889079579
time band flux fluxerr zp zpsys
58617.6529933775 smg 3115.7380858281945 898.1446691654572 27.312715716906283 ab
58618.6529933775 smg -1404.8894489991037 1560.2374515632423 26.54011468581322 ab
58619.6529933775 smg 1749.3003752135342 967.3621285921704 26.236808134042253 ab
58620.6529933775 smg 1177.3535902714063 134.82261254377835 26.238324485922323 ab
58622.6529933775 smg -676.777225684019 712.2605130004853 26.410014678116973 ab
58623.6529933775 smg 3103.8533638774315 578.6559211304494 27.64839798702226 ab
58625.6529933775 smg 6061.750864707851 1454.4243459934253 27.842707509940535 ab
58626.6529933775 smg 1100.7751856584296 1329.3430318330484 25.805109890473684 ab
58627.6529933775 smg 661.1590993849588 1381.4585817747982 25.41597467364271 ab
58628.6529933775 smg 4087.972393818072 1281.6292122694829 26.246093961831523 ab
58629.6529933775 smg 1167.1139153276165 987.4491297658257 26.71412795086678 ab
58630.6529933775 smg 1599.8027373535838 1220.2016586427003 26.691966096424213 ab
58632.6529933775 smg 1228.933387239536 1163.145843586947 26.558152980367815 ab
58634.6529933775 smg 873.4682889761496 97.61672916862794 26.962574363027677 ab
58635.6529933775 smg 1140.084967806129 897.5794355255166 26.699259617347213 ab
58637.6529933775 smg 1167.0556363881128 901.2942972276137 28.029354885458087 ab
58639.6529933775 smg 2745.5997574574167 2934.0130686314446 27.715166284815503 ab
58641.6529933775 smg -2454.6647899014456 1478.5773833764463 26.690924637402194 ab
58642.6529933775 smg 137.7005838001149 334.6858830229515 26.633682554046626 ab
58617.65313226638 smr 1254.287384997888 896.9965018760821 25.546023126233838 ab
58618.65313226638 smr -1146.9292134873888 1559.9673312249442 25.460241767908073 ab
58619.65313226638 smr -1053.7130555643923 966.9563199881595 24.67649031795284 ab
58620.65313226638 smr 352.8000086702778 132.12942848022334 24.975087218434656 ab
58622.65313226638 smr 24.35542347300205 711.611460397781 24.78237908968065 ab
58623.65313226638 smr 600.8720597271208 575.890457165106 25.36515400134998 ab
58625.65313226638 smr 779.2518652867245 1453.1559730310555 25.103058912606397 ab
58626.65313226638 smr -1085.9174748049336 1329.2342493328738 24.930318119791192 ab
58627.65313226638 smr 543.5613665350626 1381.398332504016 24.637873675412862 ab
58628.65313226638 smr 2661.274542278194 1281.4707621474288 25.25008047809843 ab
58629.65313226638 smr -411.0855748280006 987.0401416404752 25.086786151094373 ab
58630.65313226638 smr -574.8478370753282 1219.8862791738266 24.863945986268536 ab
58632.65313226638 smr -239.41430778775606 1162.9060025021513 24.742417547374814 ab
58634.65313226638 smr 118.25713301866324 94.5610634051793 25.40443378095682 ab
58635.65313226638 smr 1811.6006585713462 897.36588673846 25.240732456638508 ab
58637.65313226638 smr -170.71669870560143 900.4414013217155 25.131717273006775 ab
58639.65313226638 smr -67.32902915961591 2933.875885086457 25.430446047841226 ab
58641.65313226638 smr 15.599664691977182 1478.5542198818712 25.61552270826431 ab
58642.65313226638 smr 337.0422953120025 334.64295976774434 25.637949586405153 ab
58617.653271155265 smi 1367.8141597715771 897.3491391138219 26.528631233460345 ab
58618.653271155265 smi 2338.880609785144 1560.0504770033754 26.042048362259084 ab
58619.653271155265 smi 593.0128623138941 967.0186617905697 25.258036464503874 ab
58620.653271155265 smi 1945.5898614718174 137.83224571012562 27.053768610485037 ab
58622.653271155265 smi 1709.6006617344094 712.4664318967154 26.840158616279425 ab
58623.653271155265 smi 890.3448248117656 576.5608191933537 26.65880157658205 ab
58625.653271155265 smi 2196.859363100163 1453.5177685597716 26.83924841735459 ab
58626.653271155265 smi 119.67494746077813 1329.25515454302 25.36745923965963 ab
58627.653271155265 smi 2120.4786025520484 1381.7769870651887 26.795368903416364 ab
58628.653271155265 smi 968.016366978763 1282.1989127363272 27.471120106917404 ab
58629.653271155265 smi 2834.363801754556 988.5606520102657 27.968490047904876 ab
58630.653271155265 smi 2314.166864864641 1220.1691452124314 26.673824376736974 ab
58632.653271155265 smi 1068.1846647863958 1163.0283715157007 26.10342880814474 ab
58634.653271155265 smi 660.817024405243 95.72417003391074 26.318621883507127 ab
58635.653271155265 smi 405.31487896589806 897.7752899482618 27.009157556245736 ab
58637.653271155265 smi 37.90870567015281 900.4822145026358 25.63831113402534 ab
58639.653271155265 smi 24.455697512058805 2934.1276270384014 27.626606375573516 ab
58641.653271155265 smi 2130.3475574783643 1479.0279002216291 27.60410068284373 ab
58642.653271155265 smi 471.4743025241438 334.84731732844074 26.043393830934264 ab
