SN65: c:0.00196352303543 t0:0.0232127811183 x0:1.13717041748e-05 x1:0.015940734184 
SN66: c:0.00751451813999 t0:0.0957881125074 x0:4.49709194267e-06 x1:0.0861283982943 
SN67: c:0.00242920954738 t0:0.0271585417736 x0:3.79290575283e-05 x1:0.0248063677095 
SN68: c:0.00674969446805 t0:0.0579980752438 x0:5.91723359786e-06 x1:0.0791961641768 
SN69: c:0.00616675077342 t0:0.0396247858836 x0:8.22477231591e-06 x1:0.0567052083226 
SN70: c:0.013258127612 t0:0.127431575055 x0:3.52951714399e-06 x1:0.155492446297 
SN71: c:0.00806972338012 t0:0.0778686408183 x0:6.48594812518e-06 x1:0.0789892108945 
SN72: c:0.00451495217707 t0:0.0771129364814 x0:5.94040829635e-06 x1:0.0704025533129 
SN73: c:0.00443226678063 t0:0.0396123747218 x0:1.12310563187e-05 x1:0.0600740057602 
SN74: c:0.00961549742246 t0:0.151229781155 x0:5.63463470694e-06 x1:0.160238299294 
SN75: c:0.0055489217646 t0:0.0213429407541 x0:9.2301633788e-06 x1:0.029035482253 
SN76: c:0.00648832667152 t0:0.0405434476371 x0:7.96762022648e-06 x1:0.0529408665282 
SN77: c:0.0122794819051 t0:0.164163229844 x0:7.40086248407e-06 x1:0.165892742897 
SN78: c:0.000761090434223 t0:0.0123572499089 x0:0.000106427851163 x1:0.00798102729859 
SN79: c:0.00411273845792 t0:0.0326114408801 x0:6.81309051485e-06 x1:0.0298963121252 
SN80: c:0.00228445273187 t0:0.0224873089954 x0:2.01929083213e-05 x1:0.0146202181635 
SN81: c:0.00579936706609 t0:0.0754659761486 x0:8.83692775269e-06 x1:0.0595478274632 
SN82: c:0.00599594506171 t0:0.11805985247 x0:6.39761821482e-06 x1:0.0887208061636 
SN83: c:0.00624100886831 t0:0.0468397603774 x0:6.02825893224e-06 x1:0.059393282096 
SN84: c:0.002177358037 t0:0.0255973474958 x0:1.43349029015e-05 x1:0.0231694987125 
SN85: c:0.000611557749603 t0:0.00012789820964 x0:0.0374991286457 x1:0.0068002292254 
SN86: c:0.000511122859995 t0:0.00342133420738 x0:0.000132883605103 x1:0.00201256104055 
