time flux flux_err zp zpsys filter
-2451570.510104 -4217.007916 18.68612050302306 25.47 ab kst
-2451570.48967 -4200.0064520000005 18.540844549543834 25.47 ab kst
-2451570.448803 -4199.980429 18.521835662519706 25.47 ab kst
-2451570.428369 -4229.304425 18.755998425186174 25.47 ab kst
-2451570.407936 -4196.565689 18.489941244282512 25.47 ab kst
-2451570.387502 -4214.3310280000005 18.630376524688725 25.47 ab kst
-2451570.367069 -4230.820138 18.772811847829786 25.47 ab kst
-2451570.346635 -4220.263234 18.681087878549764 25.47 ab kst
-2451570.326202 -4221.94351 18.70535768418732 25.47 ab kst
-2451570.305768 -4193.951889 18.487416744779882 25.47 ab kst
-2451570.285334 -4204.062658 18.574986409462582 25.47 ab kst
-2451570.224033 -4246.879281 18.71791191945682 25.47 ab kst
-2451570.2036 -4237.42109 18.643139909089122 25.47 ab kst
-2451570.183166 -4233.732712 18.584042628916546 25.47 ab kst
-2451570.162733 -4243.558267 18.605988195479398 25.47 ab kst
-2451570.142299 -4242.750315 18.588098056162323 25.47 ab kst
-2451570.121865 -4249.962022 18.649734666144703 25.47 ab kst
-2451570.080998 -4232.729745000001 18.50672960689781 25.47 ab kst
-2451570.060565 -4231.344365999999 18.489813757467758 25.47 ab kst
-2451570.040131 -4231.304975999999 18.47294849549334 25.47 ab kst
-2451570.019697 -4219.929771 18.42806855940007 25.47 ab kst
-2451569.999264 -4244.909971 18.643329542103807 25.47 ab kst
-2451569.97883 -4217.578815 18.42226981123101 25.47 ab kst
-2451569.958397 -4238.351994 18.571121947413737 25.47 ab kst
-2451569.937963 -4236.1404600000005 18.56630976499873 25.47 ab kst
-2451569.917529 -4232.8165070000005 18.49955821236853 25.47 ab kst
-2451569.897096 -4255.0440530000005 18.674275193117587 25.47 ab kst
-2451569.876662 -4240.0230090000005 18.53982598789941 25.47 ab kst
-2451569.856229 -4246.485385 18.555475566389514 25.47 ab kst
-2451569.835795 -4261.709849 18.666703797933334 25.47 ab kst
-2451569.815361 -4236.955373 18.458761188843624 25.47 ab kst
-2451569.794928 -4230.215934000001 18.400801695232943 25.47 ab kst
-2451569.774494 -4247.887853 18.565919495998084 25.47 ab kst
-2451569.713193 -4234.354903 18.60563199724322 25.47 ab kst
-2451569.69276 -4262.60114 18.829769285222525 25.47 ab kst
-2451569.672326 -4282.328191 18.9842717008575 25.47 ab kst
-2451569.651893 -4289.537821 19.03165665018396 25.47 ab kst
-2451569.631459 -4269.326569 18.862185773047653 25.47 ab kst
-2451569.590592 -4226.002284 18.49472391812269 25.47 ab kst
-2451569.570158 -4250.283781 18.68236447123783 25.47 ab kst
-2451569.549724 -4242.636423 18.621577793586013 25.47 ab kst
-2451569.529291 -4240.175903 18.594232110591008 25.47 ab kst
-2451569.508857 -4215.049003 18.385386766641364 25.47 ab kst
-2451569.488424 -4214.935246 18.384914316215013 25.47 ab kst
-2451569.46799 -4240.580836 18.578942542006008 25.47 ab kst
-2451569.447557 -4228.335166 18.48130377080776 25.47 ab kst
-2451569.427123 -4248.525275 18.6378225278524 25.47 ab kst
-2451569.406689 -4241.12377 18.57678810157077 25.47 ab kst
-2451569.386256 -4252.888304 18.66805338665816 25.47 ab kst
-2451569.365822 -4254.954611 18.67452358641211 25.47 ab kst
-2451569.345389 -4246.186178 18.60701153501882 25.47 ab kst
-2451569.324955 -4252.078268 18.654617944409875 25.47 ab kst
-2451569.304521 -4254.003118 18.664963877480453 25.47 ab kst
-2451569.284088 -4265.140988 18.739525082505015 25.47 ab kst
-2451569.263654 -4297.334093 18.995514337342044 25.47 ab kst
-2451569.243221 -4283.21495 18.871128824636674 25.47 ab kst
-2451569.222787 -4271.701118999999 18.777601017748797 25.47 ab kst
-2451569.202353 -4263.438773 18.6923112528688 25.47 ab kst
-2451569.18192 -4261.412222 18.67704484883684 25.47 ab kst
-2451569.161486 -4288.348027 18.88125303564379 25.47 ab kst
-2451569.141052 -4286.086138000001 18.85217982351079 25.47 ab kst
-2451569.100185 -4271.992006 18.723684846619932 25.47 ab kst
-2451569.079752 -4261.637646 18.61480484935335 25.47 ab kst
-2451569.059318 -4272.217609 18.69404022992762 25.47 ab kst
-2451569.038884 -4286.030812 18.782673530520757 25.47 ab kst
-2451569.018451 -4309.664959000001 18.966629874516098 25.47 ab kst
-2451568.977584 -4305.2217789999995 18.891952480278928 25.47 ab kst
-2451568.95715 -4311.669264 18.913672692777894 25.47 ab kst
-2451568.936716 -4311.344317 18.89146358609513 25.47 ab kst
-2451568.916283 -4322.249014 18.954961571948587 25.47 ab kst
-2451568.895849 -4325.882369 18.958669185881163 25.47 ab kst
-2451568.854982 -4242.814282 18.263133257524313 25.47 ab kst
-2451568.834548 -4232.943756000001 18.16471406217568 25.47 ab kst
-2451568.814115 -4248.332665999999 18.268936894844032 25.47 ab kst
-2451568.793681 -4241.079307999999 18.202894394941513 25.47 ab kst
-2451568.773248 -4231.489065 18.119262880948316 25.47 ab kst
-2451568.752814 -4269.15264 18.420472166515804 25.47 ab kst
-2451568.73238 -4246.114122 18.235267085974794 25.47 ab kst
-2451568.711947 -4260.129153 18.35375177607076 25.47 ab kst
-2451568.691513 -4252.976458 18.30820891518829 25.47 ab kst
-2451568.67108 -4246.744617 18.28495791449581 25.47 ab kst
-2451568.650646 -4269.336544 18.476264986464656 25.47 ab kst
-2451568.609779 -4267.513425 18.4637414665589 25.47 ab kst
-2451568.589345 -4258.453076 18.380674535399667 25.47 ab kst
-2451568.568912 -4242.982375 18.259134709456774 25.47 ab kst
-2451568.548478 -4246.96365 18.292941123552925 25.47 ab kst
-2451568.44631 -4248.084115 18.284326663251697 25.47 ab kst
-2451568.425876 -4277.510069 18.509042650732894 25.47 ab kst
-2451568.405443 -4246.725965 18.263111021979263 25.47 ab kst
-2451568.385009 -4265.453339 18.46052667822923 25.47 ab kst
-2451568.364575 -4278.6273200000005 18.504007056371226 25.47 ab kst
-2451568.344142 -4260.128967000001 18.356212332033767 25.47 ab kst
-2451568.323708 -4295.041904 18.63346545808683 25.47 ab kst
-2451568.303275 -4275.084029 18.463171931215044 25.47 ab kst
-2451568.282841 -4297.505797999999 18.634004046722747 25.47 ab kst
-2451568.262408 -4282.9648560000005 18.526324706558654 25.47 ab kst
