SN68: c:0.0519699590009 t0:0.051931993349 x0:1.5759806141e-05 x1:0.0503707823157 
SN69: c:0.0384666829746 t0:0.0398590334444 x0:5.9828950225e-05 x1:0.0456738469005 
SN70: c:0.0708214081828 t0:0.0674871784136 x0:9.93350041691e-06 x1:0.145282937554 
SN71: c:0.0546982239649 t0:0.112271982306 x0:1.70033667658e-05 x1:0.113604798255 
SN72: c:0.0518891638958 t0:0.0521611073992 x0:1.1740918874e-05 x1:0.147481707985 
SN73: c:0.0105685618738 t0:0.0152113611866 x0:0.00196311572671 x1:0.041260035343 
SN74: c:0.00268459976896 t0:0.00250736478761 x0:0.000746260069004 x1:0.00588525983432 
SN75: c:0.0397812238805 t0:0.138095333793 x0:1.74507798609e-05 x1:0.609665087288 
SN76: c:0.0626167872155 t0:0.136206440547 x0:1.32700187953e-05 x1:0.187298436274 
SN77: c:0.0755445513405 t0:0.103605352616 x0:1.01396261863e-05 x1:0.203840113443 
SN78: c:0.0519479532291 t0:0.055543890977 x0:3.17274675674e-05 x1:0.0984650222957 
SN79: c:0.0678256482718 t0:0.0659461929401 x0:1.0757377109e-05 x1:0.135210316764 
SN80: c:0.0253060244114 t0:0.0180574647636 x0:8.2406316276e-05 x1:0.0216477829397 
SN81: c:0.0606434380285 t0:0.0640329216546 x0:1.28017937303e-05 x1:0.0601268396695 
SN82: c:0.0652616005213 t0:0.0663713495623 x0:9.42100806443e-05 x1:0.130119594877 
SN83: c:0.0447151670454 t0:0.0415687074814 x0:4.08564470133e-05 x1:0.0611069336672 
SN84: c:0.0626470627945 t0:0.0661663979249 x0:2.48200863968e-05 x1:0.115055470465 
SN85: c:0.0554329881287 t0:0.0660367756028 x0:1.49347657356e-05 x1:0.130990282109 
SN86: c:0.0517899411277 t0:0.062413062861 x0:3.49422778853e-05 x1:0.106391590265 
SN87: c:0.0514523823341 t0:0.0540606037671 x0:2.97766197102e-05 x1:0.0525887058982 
SN88: c:0.00505438912247 t0:0.0258001589559 x0:0.000503852097844 x1:0.00872805874317 
SN89: c:0.050958922859 t0:0.0630897074086 x0:3.20579871127e-05 x1:0.13391625372 
SN90: c:0.103664535509 t0:0.16638903385 x0:0.000123016941792 x1:0.146198622139 
SN91: c:0.00829879166334 t0:0.0121495568401 x0:2365.19364549 x1:0.0202643665544 
SN92: c:0.00397893273776 t0:0.00341057547249 x0:0.00134438626794 x1:0.004712396589 
SN93: c:0.043253852093 t0:0.0473770839148 x0:6.93908239158e-05 x1:0.0783910529346 
SN94: c:0.0338743621022 t0:0.044075798568 x0:4.67849390705e-05 x1:0.0973227669681 
SN95: c:0.0438889842149 t0:0.0640056253486 x0:1.98308714388e-05 x1:0.156953887995 
SN96: c:0.0543424325227 t0:0.0428364273592 x0:1.52817662878e-05 x1:0.0463112263125 
