K2_Time,Counts,Raw,Sky,Error
double,double,double,double,float
3263.30724,5052.750344,5067.39886,19182.05859,22.384912
3263.327674,5037.654968,5047.671809,19168.78711,22.377167
3263.348107,5031.681133,5040.462179,19145.08594,22.363329
3263.368541,5054.655182,5060.673431,19136.66992,22.358412
3263.388975,0,0,19117.12109,22.346989
3263.409408,5070.407762,5103.997716,19100.36133,22.337193
3263.429842,5048.188428,5079.716219,19084.95508,22.328182
3263.450276,5057.245969,5087.363577,19086.7207,22.329214
3263.470709,5060.086173,5089.824097,19071.23047,22.320152
3263.491143,5084.08557,5114.950997,19054.94531,22.310619
3263.511576,5086.698044,5115.064754,19055.83789,22.311144
3263.53201,5060.685939,5089.419164,19033.21484,22.297895
3263.552443,5075.092459,5101.664834,19034.20117,22.298473
3263.572877,5056.850034,5081.474725,19022.95117,22.291882
3263.593311,5067.464748,5088.87623,19019.87109,22.290077
3263.613744,5059.321681,5077.111696,19012.88281,22.285982
3263.634178,5059.975891,5075.045389,18992.12305,22.273811
3263.654611,5070.435989,5083.813822,18998.48047,22.27754
3263.675045,5068.812346,5077.921732,18998.82031,22.277739
3263.695479,5069.453968,5075.996882,18988.28711,22.271563
3263.715912,5061.233602,5064.859012,18956.99609,22.253204
3263.736346,5034.215503,5032.665907,18944.55664,22.245903
3263.756779,5051.112388,5046.78505,18926.48828,22.235291
3263.777213,5065.584989,5058.298881,18926.56641,22.235338
3263.797647,5083.080086,5066.561227,18889.34961,22.213463
3263.81808,5084.521819,5068.587778,18891.55273,22.214758
3263.838514,5061.793359,5041.651973,18863.04297,22.19799
3263.858948,5067.640154,5043.913862,18841.74805,22.185455
3263.879381,0,0,18824.98242,22.175585
3263.899815,5055.323791,5058.007994,18813.3125,22.168709
3263.920248,5069.960991,5068.362354,18762.19727,22.138573
3263.940682,5060.686858,5057.782391,18750.13477,22.131454
3263.961116,5048.122258,5043.969188,18703.95898,22.104187
3263.981549,5034.254817,5020.335041,18687.15625,22.094255
3264.001983,0,0,18649.31641,22.071877
3264.022416,5044.031042,5024.778221,18611.47656,22.049473
3264.04285,5042.728312,5018.330736,18550.85156,22.013531
3264.063284,5043.816692,5018.655683,18512.5,21.990763
3264.083717,5040.179258,5007.750986,18462.74023,21.961189
3264.104151,5041.01538,5004.117631,18412.20313,21.931112
3264.124584,0,0,18386.2832,21.91567
3264.145018,5055.925264,5087.185718,18356.17578,21.897718
3264.165452,5064.954639,5097.056244,18314.51563,21.872856
3264.185885,5053.702139,5081.667334,18280.43164,21.852493
3264.206319,5057.326617,5088.920692,18262.65234,21.841866
3264.226752,5069.033344,5098.510935,18245.91992,21.831856
3264.247186,5036.595814,5060.84736,18253.62305,21.836464
3264.26762,5057.325677,5083.885878,18248.07031,21.833143
3264.288053,5045.891481,5069.870847,18263.43164,21.842331
3264.308487,5053.918074,5077.023542,18285.57227,21.855566
3264.32892,5065.105324,5083.255383,18337.66016,21.886673
3264.349354,5044.705172,5060.663456,18361.44727,21.900864
3264.369788,0,0,18363.45508,21.902061
3264.390221,5040.241087,5062.486575,18365.46094,21.903257
3264.410655,5050.825234,5071.546924,18343.5957,21.890215
3264.431088,5066.079041,5087.017625,18345.46875,21.891333
3264.451522,5061.510797,5083.03635,18350.20313,21.894156
3264.471956,0,0,18441.00195,21.948257
3264.492389,0,0,18315.44141,21.873409
3264.512823,0,0,18313.83984,21.872452
3264.533257,0,0,18314.50781,21.872852
3264.55369,5071.490995,5081.915885,18315.17773,21.873251
3264.574124,5043.072585,5052.489931,18297.05469,21.862427
3264.594557,5076.045729,5083.274035,18294.16211,21.860699
3264.614991,5057.419499,5064.546661,18391.76172,21.918936
3264.635425,5046.066409,5051.37268,18269.46875,21.84594
3264.655858,5065.433717,5069.871033,18268.33203,21.845261
3264.676292,5033.487139,5034.958096,18265.375,21.843493
3264.696725,5053.461475,5054.915971,18244.65625,21.831099
3264.717159,5035.883513,5032.494202,18227.64063,21.820917
3264.737592,5053.121925,5047.035144,18245.11328,21.831375
3264.758026,5070.959138,5062.567946,18242.12109,21.829584
3264.77846,5057.056196,5044.740597,18261.56445,21.841213
3264.798893,5067.324854,5052.988549,18271.79297,21.84733
3264.819327,5064.053871,5050.413334,18293.46094,21.860279
3264.839761,5062.393693,5044.921221,18319.99609,21.876131
3264.860194,0,0,18350.94336,21.894598
3264.880628,5037.016207,5038.811162,18398.91406,21.923197
3264.901061,5049.031433,5051.199642,18424.34375,21.938341
3264.921495,5049.063334,5050.349773,18439.69141,21.947477
3264.941929,5038.343094,5037.134628,18467.20117,21.963842
3264.962362,5039.517474,5038.020806,18482.84375,21.973143
3264.982796,5055.102678,5044.894954,18493.33594,21.97938
3265.003229,5054.743962,5042.269996,18507.1543,21.987589
3265.023663,5066.548073,5054.381899,18532.32617,22.002537
3265.044097,5049.324829,5034.526693,18539.92188,22.007046
3265.06453,5055.108258,5033.879373,18568.45508,22.023973
3265.084964,5028.425911,5007.245177,18549.24609,22.012579
3265.105397,0,0,18555.13867,22.016075
3265.125831,5055.102173,5062.69756,18554.21484,22.015528
3265.146265,5040.450724,5045.631336,18552.64453,22.014595
3265.166698,5050.359578,5054.133453,18536.10938,22.004784
3265.187132,5057.088681,5056.969228,18513.14844,21.991148
3265.207565,5049.015142,5047.976038,18503.74805,21.985567
3265.227999,5072.027386,5067.124323,18489.41406,21.977049
3265.248433,5056.758789,5048.504791,18477.33984,21.969872
3265.268866,5039.944721,5032.271868,18451.21094,21.954332
3265.2893,5059.258412,5048.313941,18420.10352,21.935818
3265.309733,5077.777707,5062.761656,18400.76367,21.924299
3265.330167,5025.2833,5007.657452,18371.96289,21.907135
3265.350601,0,0,18341.33398,21.888865
3265.371034,5045.493947,5058.289063,18305.12305,21.867247
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3265.452769,5040.607184,5044.955979,18206.30078,21.808142
3265.473202,5064.729623,5068.5315,18175.82813,21.789883
3265.493636,5077.605517,5077.631597,18158.40039,21.779434
3265.51407,5049.511676,5048.388643,18124.90625,21.759336
3265.534503,5044.101633,5039.16701,18088.90234,21.737715
3265.554937,5040.390944,5035.449415,18082.5332,21.733889
3265.57537,5050.07116,5038.872639,18076.89063,21.730497
3265.595804,0,0,18037.53125,21.706827
3265.616238,5056.672544,5074.847857,18018.37305,21.695295
3265.636671,5070.360643,5083.659407,17998.53906,21.683352
3265.657105,5071.878768,5083.272066,17968.80469,21.665434
3265.677538,5069.076583,5079.260479,17943.75391,21.650326
3265.697972,5026.838253,5033.529506,17915.20313,21.633095
3265.718406,5068.414397,5072.564506,17890.73438,21.618317
3265.738839,0,0,18087.76367,21.737032
3265.759273,5050.427686,5049.214708,17892.25586,21.619236
3265.779706,5052.407672,5048.160196,17697.33789,21.501152
3265.80014,5036.607273,5035.331264,17698.67578,21.501965
3265.820574,5072.523888,5066.318317,17626.32031,21.45797
3265.841007,0,0,17573.31641,21.425682
3265.861441,5049.860752,5072.4335,17603.85156,21.444288
3265.881874,5046.886235,5066.727497,17609.63477,21.447809
3265.902308,5049.696043,5067.76207,17607.72461,21.446648
3265.922742,5026.921509,5042.719311,17608.35938,21.447033
3265.943175,5052.774756,5068.37498,17631.67773,21.461229
3265.963609,5062.522958,5075.866192,17575.07031,21.426752
3265.984042,5054.901725,5067.364564,17526.81641,21.397318
3266.004476,5053.258992,5062.251954,17478.92969,21.368065
3266.02491,5040.25133,5047.172485,17481.59961,21.369698
3266.045343,5030.545545,5035.966937,17460.22266,21.356627
3266.065777,5063.151945,5067.437924,17463.46289,21.35861
3266.08621,5064.910692,5067.930604,17439.71094,21.34408
3266.106644,5046.912401,5044.821523,17441.55469,21.345207
3266.127078,5048.104158,5044.654649,17434.28906,21.340761
3266.147511,5028.418023,5024.460185,17415.46094,21.329235
3266.167945,5055.88933,5051.847679,17407.40234,21.324299
3266.188378,5038.430097,5030.130243,17400.09766,21.319824
3266.208812,5054.86089,5040.817787,17394.9082,21.316645
3266.229246,5043.496391,5024.912675,17379.0293,21.306913
3266.249679,5068.966976,5049.834283,17369.42578,21.301025
3266.270113,5046.571183,5021.897111,17344.60156,21.285799
3266.290547,5041.730531,5018.87951,17338.16016,21.281845
3266.31098,5025.431214,4994.672161,17326.41016,21.274633
3266.331414,0,0,17318.95117,21.270054
3266.351847,0,0,17311.49414,21.265474
3266.372281,5049.86493,5059.73825,17300.41016,21.258665
3266.392715,5045.742835,5053.272248,17310.94922,21.265141
3266.413148,5055.613897,5062.54274,17287.10156,21.250486
3266.433582,5062.818862,5067.099487,17284.89453,21.24913
3266.454015,5047.702041,5051.980974,17267.44531,21.238401
3266.474449,5032.540186,5034.956513,17264.69531,21.236712
3266.494883,5047.046814,5048.276359,17250.46094,21.227953
3266.515316,5062.481907,5061.083007,17231.7832,21.216459
3266.53575,5072.28019,5068.359736,17223.38086,21.211285
3266.556183,5042.281586,5035.627576,17213.50781,21.205206
3266.576617,0,0,17213.76953,21.205368
3266.597051,5045.986261,5065.642982,17202.61328,21.198494
3266.617484,5043.010436,5061.947633,17206.34961,21.200796
3266.637918,5037.470066,5057.277551,17179.44531,21.184214
3266.658351,5063.158047,5083.712596,17177.80078,21.183199
3266.678785,5038.998192,5059.738423,17159.83984,21.172123
3266.699219,5055.541523,5071.498695,17155.22656,21.169277
3266.719652,5049.312681,5063.748458,17144.83008,21.162861
3266.740086,5064.779196,5078.614953,17144.75781,21.162817
3266.760519,5043.043571,5055.941066,17131.15234,21.154419
3266.780953,5032.061277,5042.343683,17124.83984,21.15052
3266.801387,5040.040103,5049.867147,17109.75391,21.141201
3266.82182,5046.08397,5053.656935,17119.17773,21.147024
3266.842254,5044.724902,5048.726346,17091.24023,21.129763
3266.862687,5048.191019,5051.307335,17075.41016,21.119974
3266.883121,5065.557809,5064.994433,17072.14844,21.117956
3266.903555,5021.695274,5017.721767,17064.50977,21.113232
3266.923988,0,0,17062.32617,21.111879
3266.944422,5049.375108,5044.414173,17056.38867,21.108206
3266.964855,5084.5296,5076.090686,17038.64844,21.097225
3266.985289,5036.183715,5024.341176,17030.97266,21.092474
3267.005723,5041.536564,5027.832015,17032.2832,21.093285
3267.026156,5045.430899,5029.626131,17024.70898,21.088594
3267.04659,5068.623398,5047.549376,17021.29297,21.086479
3267.067023,0,0,17001.03906,21.073929
3267.087457,5017.296578,5032.817715,17000.56445,21.073633
3267.107891,5021.137435,5037.956014,16988.48242,21.066145
3267.128324,5033.870086,5046.30663,17034.16602,21.094452
3267.148758,5041.56455,5054.973287,16979.12109,21.060341
3267.169192,5063.246877,5070.66533,16967.1875,21.052938
3267.189625,5034.426505,5041.22622,16959.74414,21.048321
3267.210059,5034.879072,5041.729727,16962.09375,21.049778
3267.230492,5019.154965,5024.169342,16971.51758,21.055624
3267.250926,5022.380248,5024.611377,16940.85156,21.036594
3267.271359,5031.039081,5029.924195,16936.40234,21.033831
3267.291793,5025.505922,5022.490647,16926.20117,21.027494
3267.312227,0,0,16917.14844,21.021872
3267.33266,5041.026914,5056.524697,16902.7207,21.012905
3267.353094,5052.026626,5070.216624,16913.26172,21.019455
3267.373528,5050.450276,5066.374654,16883.06445,21.000685
3267.393961,5017.943358,5035.841048,16870.65039,20.992962
3267.414395,5027.876211,5041.914362,16863.4082,20.988455
3267.434828,5049.686574,5062.474231,16851.48047,20.981031
3267.455262,4999.95411,5011.301005,16837.49609,20.972324
3267.475696,5041.710558,5049.144618,16838.54688,20.972979
3267.496129,5024.764792,5030.355089,16819.52539,20.961128
3267.516563,5026.797657,5031.245083,16803.77539,20.951311
3267.536996,5039.824455,5042.3943,16806.64453,20.9531
3267.55743,4978.012845,4977.185436,16782.72656,20.938185
3267.577864,5029.03266,5026.077367,16782.32813,20.937937
3267.598297,5046.112644,5041.304094,16767.3457,20.928587
3267.618731,5023.103588,5015.44081,16760.77539,20.924488
3267.639164,5039.960206,5026.420963,16757.30664,20.922321
3267.659598,4994.86472,4981.813685,16754.54297,20.920597
3267.680032,5028.01837,5011.273587,16735.38086,20.90863
3267.700465,5019.587522,4998.764017,16733.72852,20.907598
3267.720899,5033.487499,5012.233821,16712.63672,20.894417
3267.741332,5007.164047,4981.645971,16705.80664,20.890148
3267.761766,5031.107049,4999.268009,16695.41602,20.883652
3267.7822,5043.867098,5009.973597,16678.73828,20.873217
3267.802633,0,0,16668.03125,20.866516
3267.823067,5004.944174,5016.066612,16665.66602,20.865036
3267.8435,5023.049782,5032.214368,16660.01953,20.8615
3267.863934,5027.726629,5033.399035,16652.30664,20.85667
3267.884368,5027.556845,5032.595374,16639.98242,20.848951
3267.904801,5019.547746,5022.985149,16636.59961,20.846832
3267.925235,5016.174286,5015.929371,16624.48633,20.839241
3267.945668,5019.38011,5017.922377,16615.04688,20.833324
3267.966102,5009.83493,5004.177614,16613.22852,20.832184
3267.986536,5036.536923,5030.2459,16594.53125,20.820459
3268.006969,5005.644163,4994.445067,16596.40234,20.821632
3268.027403,5036.135184,5022.49614,16585.70313,20.814919
3268.047836,0,0,16570.63672,20.805462
3268.06827,5028.147146,5039.248758,16561.2793,20.799587
3268.088704,5023.992271,5036.045536,16556.86914,20.796818
3268.109137,5013.583324,5016.494073,16544.01953,20.788748
3268.129571,0,0,16543.59375,20.788479
3268.150005,5075.808503,5075.996459,16522.45508,20.775192
3268.170438,5046.371408,5043.359333,16511.39063,20.768236
3268.190872,5027.094267,5020.678272,16510.52539,20.767693
3268.211305,5036.550194,5031.811527,16498.30273,20.760004
3268.231739,5050.42536,5040.081413,16493.12695,20.756748
3268.252173,5038.370113,5022.564604,16470.39063,20.742435
3268.272606,5017.226782,4998.206754,16472.66016,20.743864
3268.29304,0,0,16467.49414,20.740612
3268.313473,5024.062403,5021.020899,16462.33008,20.737358
3268.333907,5024.908865,5019.56139,16447.07227,20.727747
3268.354341,5047.757186,5042.603689,16428.77734,20.716213
3268.374774,5032.859114,5027.520732,16420.82422,20.711199
3268.395208,5039.477505,5029.797392,16412.18945,20.705753
3268.415641,5041.417218,5027.792606,16404.65039,20.700996
3268.436075,5042.823568,5030.127963,16399.80859,20.697943
3268.456509,5012.287064,4996.086888,16381.63477,20.686472
3268.476942,5097.460948,5078.466793,16373.79883,20.681522
3268.497376,0,0,16361.92969,20.674025
3268.517809,5022.469315,5002.037751,16361.95508,20.674042
3268.538243,0,0,16362.84766,20.674604
3268.558677,5020.589161,5029.783578,16343.66016,20.662481
3268.57911,5041.019105,5049.454818,16343.04492,20.66209
3268.599544,5016.046238,5022.954882,16338.35254,20.659124
3268.619978,5010.292811,5015.334595,16326.64941,20.651726
3268.640411,5029.807367,5034.170167,16318.83496,20.646782
3268.660845,5014.0649,5017.660133,16311.89648,20.642391
3268.681278,5018.332804,5018.311005,16299.0957,20.634291
3268.701712,5046.488718,5042.848486,16286.27344,20.626173
3268.722145,5039.341723,5035.86775,16274.54395,20.618744
3268.742579,5019.377376,5016.547179,16265.83008,20.613222
3268.763013,5038.628598,5030.514302,16250.49512,20.603504
3268.783446,0,0,16239.19824,20.596342
3268.80388,5034.11274,5048.012509,16231.375,20.591379
3268.824313,5032.015066,5049.705335,16221.71289,20.585251
3268.844747,5017.593333,5032.596302,16219.18066,20.583643
3268.865181,5013.438701,5027.524236,16211.9707,20.579067
3268.885614,5039.252186,5055.239132,16204.66113,20.574429
3268.906048,5047.122755,5064.604022,16189.29297,20.564669
3268.926482,5028.494534,5041.73541,16191.38184,20.565996
3268.946915,5013.088662,5027.644831,16183.42871,20.560944
3268.967349,5068.766125,5082.339863,16172.86914,20.554235
3268.987782,5029.126891,5041.831971,16161.18848,20.546812
3269.008216,5026.715484,5036.739377,16152.49414,20.541285
3269.02865,5009.594961,5016.795141,16149.88281,20.539623
3269.049083,4987.483044,4994.103979,16130.87012,20.527529
3269.069517,5011.438783,5016.971098,16133.58691,20.529257
3269.08995,5001.146427,5006.506248,16119.50977,20.5203
3269.110384,5013.037499,5014.129604,16108.68555,20.513409
3269.130818,4999.177511,4997.380765,16101.30469,20.508709
3269.151251,5020.029376,5019.536539,16092.0293,20.502802
3269.171685,5022.669594,5019.886514,16075.26758,20.492121
3269.192118,5008.911609,5000.661926,16084.00195,20.497686
3269.212552,4994.397019,4985.743967,16064.10254,20.485001
3269.232986,5032.172539,5021.697004,16054.83887,20.479094
3269.253419,5032.366685,5018.437767,16053.60352,20.478308
3269.273853,0,0,16051.28223,20.476826
3269.294286,5014.630308,5025.354847,16030.35742,20.463476
3269.31472,5020.949327,5028.426846,16024.55176,20.45977
3269.335154,5013.155305,5018.830242,16026.5918,20.461071
3269.355587,5026.62995,5029.567871,16000.77832,20.444586
3269.376021,5018.912634,5020.06677,16009.41406,20.450104
3269.396454,0,0,16003.23926,20.446159
