time flux flux_err zp zpsys filter
-2451568.83453 501.0217050000001 23.85722550116542 25.47 ab kst
-2451568.814097 497.9351379999998 23.71829054345406 25.47 ab kst
-2451568.793663 504.06505000000016 23.974772574712418 25.47 ab kst
-2451568.77323 497.9896859999999 23.706270058862778 25.47 ab kst
-2451568.752796 541.5232799999994 25.54394673477481 25.47 ab kst
-2451568.732362 557.0259459999997 26.18438496033488 25.47 ab kst
-2451568.711929 527.5939820000003 24.936838863679146 25.47 ab kst
-2451568.691495 528.941519 24.978321974019995 25.47 ab kst
-2451568.671062 509.5606250000001 24.136378019177496 25.47 ab kst
-2451568.650628 548.3271159999995 25.7646450373196 25.47 ab kst
-2451568.609761 538.1136509999997 25.313972992528452 25.47 ab kst
-2451568.589327 521.9100820000003 24.616179376434044 25.47 ab kst
-2451568.568894 546.6541649999999 25.641181495188707 25.47 ab kst
-2451568.54846 539.9507240000003 25.350143631568436 25.47 ab kst
-2451568.446292 529.0453509999998 24.859833655106357 25.47 ab kst
-2451568.425858 544.8376450000005 25.520239811347032 25.47 ab kst
-2451568.405425 533.6215840000004 25.04198762420648 25.47 ab kst
-2451568.384991 492.0403580000002 23.34213833216276 25.47 ab kst
-2451568.364557 531.1189109999996 24.93785195891556 25.47 ab kst
-2451568.344124 506.85269400000016 23.91150703105323 25.47 ab kst
-2451568.32369 493.8326240000006 23.35301855859111 25.47 ab kst
-2451568.303257 510.6892749999997 24.058921939533683 25.47 ab kst
-2451568.282823 505.1596639999998 23.81607870397272 25.47 ab kst
-2451568.26239 504.613977 23.784624583648956 25.47 ab kst
-2451568.241956 476.4401590000007 22.578891974192484 25.47 ab kst
-2451568.221522 485.8848130000006 22.980904265837676 25.47 ab kst
-2451568.201089 484.7965060000006 22.92697241975822 25.47 ab kst
-2451568.180655 479.1912819999998 22.678693606450356 25.47 ab kst
-2451568.160221 480.98013999999966 22.749632457312302 25.47 ab kst
-2451568.119354 552.4110409999994 25.729585235376177 25.47 ab kst
-2451568.098921 515.8661520000005 24.205985978975114 25.47 ab kst
-2451568.078487 515.0735599999998 24.178087973027413 25.47 ab kst
-2451568.058053 517.683325 24.292974314867557 25.47 ab kst
-2451568.03762 539.980536 25.24253230367758 25.47 ab kst
-2451568.017186 530.5202009999994 24.850070858478745 25.47 ab kst
-2451567.996753 492.59177400000044 23.26502892130902 25.47 ab kst
-2451567.976319 512.3220869999996 24.101442679998954 25.47 ab kst
-2451567.955885 491.9926369999994 23.239812100294888 25.47 ab kst
-2451567.935452 485.75661800000034 22.97567048600401 25.47 ab kst
-2451567.915018 486.1522439999999 22.983068271449493 25.47 ab kst
-2451567.874151 559.0792280000005 25.99822469547161 25.47 ab kst
-2451567.853717 576.2791070000003 26.711164904051042 25.47 ab kst
-2451567.833284 551.5352290000001 25.674414827736666 25.47 ab kst
-2451567.81285 526.8599400000003 24.644628317779464 25.47 ab kst
-2451567.792417 564.3329860000003 26.186058253776377 25.47 ab kst
-2451567.771983 524.3882530000001 24.524259734555223 25.47 ab kst
-2451567.751549 531.6129559999999 24.815172838429866 25.47 ab kst
-2451567.731116 589.0033590000003 27.176510935978264 25.47 ab kst
-2451567.710682 521.8556579999995 24.395899244166525 25.47 ab kst
-2451567.690249 490.6525019999999 23.06619753559439 25.47 ab kst
-2451567.669815 524.2842099999998 24.471696669784446 25.47 ab kst
-2451567.628948 588.8633069999996 27.094551059886612 25.47 ab kst
-2451567.547213 589.993426 27.094666674442372 25.47 ab kst
-2451567.52678 579.367749 26.643038137239714 25.47 ab kst
-2451567.506346 565.2511709999999 26.061533181643075 25.47 ab kst
-2451567.485912 552.5825249999998 25.541621380661756 25.47 ab kst
-2451567.465479 554.5840630000002 25.611237210496697 25.47 ab kst
-2451567.445045 569.2091759999994 26.223209091063378 25.47 ab kst
-2451567.424612 548.9557380000006 25.37752062994763 25.47 ab kst
-2451567.383744 597.4086349999998 27.338610847305908 25.47 ab kst
-2451567.363311 616.0847709999998 28.12202670422278 25.47 ab kst
-2451567.342877 576.4519479999999 26.50187851031967 25.47 ab kst
-2451567.322444 599.1236079999999 27.394742464987974 25.47 ab kst
-2451567.30201 588.1021340000007 26.938952552743917 25.47 ab kst
-2451567.281576 590.721665 27.042466323794102 25.47 ab kst
-2451567.240709 550.5142670000005 25.116756098851923 25.47 ab kst
-2451567.220276 577.4859299999998 26.179565213233204 25.47 ab kst
-2451567.199842 553.3756880000001 25.202768367745854 25.47 ab kst
-2451567.179408 562.6176230000001 25.482501902384453 25.47 ab kst
-2451567.138541 583.504304 26.330770812565923 25.47 ab kst
-2451567.118108 593.324372 26.732331752041162 25.47 ab kst
-2451567.097674 579.834989 26.192924903233962 25.47 ab kst
-2451567.07724 602.3402679999999 27.1248586286158 25.47 ab kst
-2451567.056807 563.8294240000005 25.561734340351173 25.47 ab kst
-2451567.036373 612.1633019999999 27.413885415153814 25.47 ab kst
-2451567.01594 594.549599 26.690891175979765 25.47 ab kst
-2451566.995506 589.125078 26.4581820620334 25.47 ab kst
-2451566.975072 559.3422149999997 25.26691039292206 25.47 ab kst
-2451566.954639 595.9458139999997 26.730852568528316 25.47 ab kst
-2451566.934205 593.7614460000004 26.63984334836266 25.47 ab kst
-2451566.913772 559.198864 25.257115827424883 25.47 ab kst
-2451566.893338 576.4032569999999 25.937207748412956 25.47 ab kst
-2451566.872904 549.9732679999997 24.879680775309147 25.47 ab kst
-2451566.852471 569.5341619999999 25.656880046086815 25.47 ab kst
-2451566.832037 533.8314119999995 24.21241167934695 25.47 ab kst
