LC of   211559048,,,,,
K2_Time,Counts,Raw,RB,Sky,Error
3264.267638,4570.884526,4757.025946,3.280794,41290.94531,223.615793
3264.288071,4542.671384,4727.593982,4.745898,41251.46875,223.450709
3264.308505,4545.51648,4728.941519,4.946111,41193.36328,223.315848
3264.328938,4527.391517,4709.560625,6.576917,41114.08594,223.077942
3264.349372,4568.626507,4748.327116,5.406151,41087.23828,223.1131
3264.369806,0,0,0,41050.79297,0
3264.390239,4550.49497,4738.113651,5.096596,41014.35938,222.890612
3264.410673,4534.198785,4721.910082,4.955405,40957.46094,222.711516
3264.431106,4559.255176,4746.654165,5.169866,40905.23828,222.645008
3264.45154,4551.948984,4739.950724,4.885347,40868.00391,222.535921
3264.471974,0,0,0,40123.40234,0
3264.492407,0,0,0,40208.12109,0
3264.512841,0,0,0,40292.84375,0
3264.533275,0,0,0,40377.5625,0
3264.553708,4549.294972,4729.045351,6.569734,40740.88281,222.217775
3264.574142,4565.814746,4744.837645,5.761744,40736.92188,222.248583
3264.594575,4560.625897,4733.621584,5.938494,40698.30859,222.141114
3264.615009,4525.331055,4692.040358,7.672081,40915.86328,222.587951
3264.635443,4569.942943,4731.118911,6.004186,40689.44922,222.142237
3264.655876,4548.492876,4706.852694,6.565522,40674.36719,222.052566
3264.67631,4539.153766,4693.832624,6.273916,40649.36719,221.968244
3264.696743,4560.27936,4710.689275,5.901671,40610.14844,221.923802
3264.717177,4563.695906,4705.159664,6.900299,40567.65625,221.827792
3264.73761,4567.810705,4704.613977,5.7859,40531.35156,221.748668
3264.758044,4545.031649,4676.440159,6.651158,40501.95313,221.620355
3264.778478,4562.315021,4685.884813,5.634021,40487.9375,221.628393
3264.798911,4567.998989,4684.796506,5.649928,40451.67578,221.553165
3264.819345,4565.284673,4679.191282,5.968815,40413.35156,221.452162
3264.839779,4577.119392,4680.98014,6.006299,40381.66016,221.403274
3264.860212,0,0,0,40349.15625,0
3264.880646,4582.36811,4752.411041,5.933406,40355.79297,221.3525
3264.901079,4550.351678,4715.866152,5.45906,40359.42188,221.282574
3264.921513,4558.537276,4715.07356,6.155945,40370.67188,221.330451
3264.941947,4568.587728,4717.683325,6.113294,40382.17188,221.383526
3264.96238,4594.769635,4739.980536,5.238686,40435.98047,221.580416
3264.982814,4593.319349,4730.520201,4.765583,40438.10156,221.582066
3265.003247,4564.083827,4692.591774,5.245896,40486.96094,221.630342
3265.023681,4588.305957,4712.322087,5.887534,40484.67578,221.684295
3265.044115,4576.557859,4691.992637,6.098808,40474.92578,221.631421
3265.064548,4578.184957,4685.756618,5.784539,40472.85547,221.630331
3265.084982,4586.190209,4686.152244,6.329533,40428.125,221.539977
3265.105415,0,0,0,40397.39844,0
3265.125849,4571.073142,4759.079228,5.118856,40348.22656,221.306042
3265.146283,4588.504218,4776.279107,5.075486,40363.15625,221.385744
3265.166716,4571.813519,4751.535229,5.917485,40299.51563,221.187841
3265.18715,4555.176711,4726.85994,6.688209,40282.80859,221.105644
3265.207583,4595.394872,4764.332986,6.21828,40229.57813,221.073558
3265.228017,4562.577394,4724.388253,6.34955,40211.17578,220.947216
3265.248451,4577.130299,4731.612956,6.076057,40164.14453,220.867065
3265.268884,4640.126486,4789.003359,5.15015,40140.33594,220.963769
3265.289318,4581.81044,4721.855658,5.366664,40107.60938,220.739036
3265.309751,4560.932687,4690.652502,6.934867,40037.22656,220.513534
3265.330185,4600.504965,4724.28421,5.431411,39997.25781,220.512554
3265.350619,0,0,0,39988.08594,0
3265.371052,4590.030419,4788.863307,5.41605,39939.30859,220.343329
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3265.452787,4602.257576,4789.993426,5.163694,39777.97266,219.974104
3265.47322,4599.34768,4779.367749,6.395822,39704.98438,219.785926
3265.493654,4587.715133,4765.251171,5.510183,39684.88281,219.707199
3265.514088,4584.853635,4752.582525,5.69674,39674.83984,219.675176
3265.534521,4592.688765,4754.584063,6.5304,39625.18359,219.571366
3265.554955,4614.803668,4769.209176,5.449523,39661.0625,219.715308
3265.575388,4606.054051,4748.955738,5.719017,39598.4375,219.538141
3265.595822,0,0,0,39669.32813,0
3265.616256,4594.86035,4797.408635,4.797266,39609.97266,219.538989
3265.636689,4616.271341,4816.084771,4.49489,39708.54688,219.836735
3265.657123,4579.837868,4776.451948,4.911612,39646.84375,219.593237
3265.677556,4605.752834,4799.123608,4.505262,39558.60156,219.438449
3265.69799,4596.717435,4788.102134,6.042073,39522.63672,219.326625
3265.718424,4604.790723,4790.721665,5.566233,39509.07422,219.312981
3265.738857,0,0,0,39008.33594,0
3265.759291,4576.558019,4750.514267,6.634679,38507.60156,216.738267
3265.779724,4609.319089,4777.48593,6.068012,38412.35547,216.581042
3265.800158,4594.327805,4753.375688,5.457137,38389.69531,216.486248
3265.820592,4610.032933,4762.617623,5.99665,38067.10938,215.712071
3265.841025,0,0,0,38060.32813,0
