time flux flux_err zp zpsys filter
-2451570.510098 -38.2967000000001 1.2800470087386395 25.47 ab kst
-2451570.489664 -61.27557899999988 2.08573188252625 25.47 ab kst
-2451570.469231 -64.76977299999999 2.210491131172424 25.47 ab kst
-2451570.448797 -77.44587499999989 2.6687614280095655 25.47 ab kst
-2451570.428363 -64.976854 2.2162606352061256 25.47 ab kst
-2451570.40793 -59.905451000000085 2.0336997741763536 25.47 ab kst
-2451570.387496 -47.58228000000008 1.599344747850365 25.47 ab kst
-2451570.367063 -51.336132000000134 1.7304322492311375 25.47 ab kst
-2451570.346629 -41.06581099999994 1.3726497862059142 25.47 ab kst
-2451570.326196 -59.424649000000045 2.0153893394928803 25.47 ab kst
-2451570.305762 -51.60985500000015 1.7383255628490217 25.47 ab kst
-2451570.285328 -62.630386000000044 2.1275331142589486 25.47 ab kst
-2451570.264895 -64.22737400000005 2.1865144568938457 25.47 ab kst
-2451570.244461 -48.068148000000065 1.612606713861188 25.47 ab kst
-2451570.224027 -59.97108100000014 2.0302730373135294 25.47 ab kst
-2451570.203594 -35.12321399999996 1.1653435890165968 25.47 ab kst
-2451570.18316 -53.8463220000001 1.8108946453373083 25.47 ab kst
-2451570.162727 -79.73512800000003 2.730356525067036 25.47 ab kst
-2451570.142293 -53.02578800000015 1.7768181215758276 25.47 ab kst
-2451570.121859 -69.11305399999992 2.3464205137054823 25.47 ab kst
-2451570.080992 -51.370377999999846 1.7178161950498758 25.47 ab kst
-2451570.060559 -62.39811899999995 2.10517555750302 25.47 ab kst
-2451570.040125 -58.085736 1.9519024497898705 25.47 ab kst
-2451570.019691 -51.31622200000015 1.7152838800477763 25.47 ab kst
-2451569.999258 -64.71029900000008 2.1885040743473168 25.47 ab kst
-2451569.978824 -53.52559300000007 1.7967384819686556 25.47 ab kst
-2451569.958391 -38.63558499999999 1.2822351600836028 25.47 ab kst
-2451569.937957 -80.89972799999987 2.7764293158662756 25.47 ab kst
-2451569.917523 -72.789759 2.4789028170132625 25.47 ab kst
-2451569.89709 -84.41377299999999 2.903985549150594 25.47 ab kst
-2451569.876656 -89.92649000000006 3.1055745780521518 25.47 ab kst
-2451569.856223 -106.23816199999987 3.712118646270153 25.47 ab kst
-2451569.835789 -81.17916799999989 2.777924701719666 25.47 ab kst
-2451569.815355 -111.92930500000011 3.9292965490845524 25.47 ab kst
-2451569.794922 -74.98289499999987 2.5531778716014895 25.47 ab kst
-2451569.774488 -71.48707200000013 2.432191702064122 25.47 ab kst
-2451569.529285 -67.41780299999982 2.2967547335218703 25.47 ab kst
-2451569.508851 -79.15160300000002 2.722073299698614 25.47 ab kst
-2451569.488418 -115.23467200000005 4.0809711472885555 25.47 ab kst
-2451569.467984 -113.87435299999993 4.024583887871348 25.47 ab kst
-2451569.447551 -115.399586 4.083125049737735 25.47 ab kst
-2451569.427117 -87.42758000000003 3.0206669379724413 25.47 ab kst
-2451569.406683 -118.80387799999994 4.21046160740129 25.47 ab kst
