LC of 211545516,,,,,
K2_Time,Counts,Raw,RB,Sky,Error
double,double,double,double,double,double
3262.469469,0,0,19598.00195,19598.00195,0
3262.489902,1253.277238,1249.7033,19622.66016,19622.66016,41.770674
3262.510336,1229.543555,1226.724421,19631.65039,19631.65039,41.755921
3262.530769,1223.670828,1223.230227,19628.54688,19628.54688,41.746936
3262.551203,1212.134751,1210.554125,19608.51953,19608.51953,41.715329
3262.571637,1226.757055,1223.023146,19594.00781,19594.00781,41.71544
3262.59207,1231.117914,1228.094549,19566.21484,19566.21484,41.691959
3262.612504,1243.586135,1240.41772,19554.94336,19554.94336,41.693159
3262.632937,1241.685035,1236.663868,19549.02344,19549.02344,41.685319
3262.653371,1254.563498,1246.934189,19530.37695,19530.37695,41.679536
3262.673804,1235.803938,1228.575351,19536.81641,19536.81641,41.667182
3262.694238,1243.864623,1236.390145,19505.79883,19505.79883,41.644151
3262.714672,1232.767762,1225.369614,19498.20703,19498.20703,41.625393
3262.735105,1230.465512,1223.772626,19536.30078,19536.30078,41.66131
3262.755539,1244.973631,1239.931852,19458.38477,19458.38477,41.597659
3262.775973,1236.847136,1228.028919,19442.90625,19442.90625,41.573938
3262.796406,1260.835655,1252.876786,19413.86523,19413.86523,41.568859
3262.81684,1244.516988,1234.153678,19367.27734,19367.27734,41.50557
3262.837273,1219.33071,1208.264872,19262.40039,19262.40039,41.37441
3262.857707,1248.912719,1234.974212,19240.54688,19240.54688,41.382215
3262.878141,1233.788087,1218.886946,19255.24219,19255.24219,41.381782
3262.898574,0,0,19239.94336,19239.94336,0
3262.919008,1251.821457,1236.629622,19208.39258,19208.39258,41.352672
3262.939441,1240.052361,1225.601881,19216.64453,19216.64453,41.349117
3262.959875,1245.371112,1229.914264,19192.23047,19192.23047,41.329814
3262.980309,1249.871776,1236.683778,19194.93555,19194.93555,41.337099
3263.000742,1240.519963,1223.289701,19238.51953,19238.51953,41.371691
3263.021176,1247.663291,1234.474407,19297.70703,19297.70703,41.438638
3263.041609,1263.163737,1249.364415,19307.18555,19307.18555,41.463821
3263.062043,1220.724855,1207.100272,19313.05273,19313.05273,41.426945
3263.082477,1228.589558,1215.210241,19263.4082,19263.4082,41.384779
3263.10291,1218.738758,1203.586227,19293.81445,19293.81445,41.40553
3263.123344,1214.161031,1198.07351,19268.13281,19268.13281,41.374979
3263.143777,1197.927525,1181.761838,19202.79492,19202.79492,41.292508
3263.164211,1225.979911,1206.820832,19179.19727,19179.19727,41.297016
3263.184645,1194.958865,1176.070695,19199.48633,19199.48633,41.286154
3263.205078,1231.556318,1213.017105,19179.92969,19179.92969,41.303399
3263.225512,1235.562766,1216.512928,19260.8125,19260.8125,41.389199
3263.245945,0,0,19392.01758,19392.01758,0
3263.266379,0,0,19523.22461,19523.22461,0
3263.286813,0,0,19654.43164,19654.43164,0
3263.307246,0,0,19627.98242,19627.98242,0
3263.32768,0,0,19647.70703,19647.70703,0
3263.348113,0,0,19635.83203,19635.83203,0
3263.368547,0,0,19560.30273,19560.30273,0
3263.388981,0,0,19514.72266,19514.72266,0
3263.409414,0,0,19511.65039,19511.65039,0
3263.429848,0,0,19513.27148,19513.27148,0
3263.450282,0,0,19456.10156,19456.10156,0
3263.470715,1240.503216,1220.582197,19447.43164,19447.43164,41.582161
3263.491149,1228.418476,1208.848397,19450.45703,19450.45703,41.573055
3263.511582,1194.442621,1172.765328,19444.42969,19444.42969,41.532825
3263.532016,1194.668058,1174.125647,19407.94531,19407.94531,41.496325
3263.552449,1194.943671,1172.600414,19400.91797,19400.91797,41.489526
3263.572883,1224.033299,1200.57242,19362.75195,19362.75195,41.480382
3263.593317,1190.407218,1169.196122,19353.16406,19353.16406,41.436824
3263.61375,0,0,19339.77148,19339.77148,0
3263.634184,1219.510892,1196.881394,19310.2832,19310.2832,41.422927
3263.654617,1250.115608,1224.943514,19269.3457,19269.3457,41.412501
3263.675051,1232.461462,1206.743531,19254.07422,19254.07422,41.379263
3263.695485,1226.835536,1199.334326,19226.67969,19226.67969,41.345901
3263.715918,1232.674698,1204.624047,19213.69922,19213.69922,41.338683
3263.736352,1266.695296,1236.564142,19190.16992,19190.16992,41.349287
3263.756785,1239.263743,1207.35173,19181.93945,19181.93945,41.31323
3263.777219,1243.806923,1210.913013,19157.55273,19157.55273,41.293153
3263.797653,1233.835692,1203.584419,19141.25781,19141.25781,41.266562
3263.818086,1263.556625,1226.418872,19098.20508,19098.20508,41.253059
3263.83852,1267.39999,1230.285041,19071.00781,19071.00781,41.229395
3263.858954,1265.651163,1221.212475,19057.76563,19057.76563,41.214197
3263.879387,0,0,19050.88867,19050.88867,0
3263.899821,1274.095807,1242.428165,19022.00586,19022.00586,41.186492
3263.920254,1291.712315,1256.357339,19017.74414,19017.74414,41.20004
3263.940688,1270.030325,1237.422271,19020.07422,19020.07422,41.180406
3263.961122,1276.540994,1239.11994,19032.03516,19032.03516,41.199147
3263.981555,1258.394956,1223.150882,19031.46484,19031.46484,41.180158
3264.001989,0,0,19038.26953,19038.26953,0
3264.022422,1252.245292,1217.818977,19045.07813,19045.07813,41.187731
3264.042856,1259.882503,1219.509151,19026.97656,19026.97656,41.177113
3264.06329,1281.993351,1243.2282,19004.0625,19004.0625,41.176298
3264.083723,1223.680114,1181.340603,19026.20508,19026.20508,41.139572
3264.104157,0,0,19052.07031,19052.07031,0
3264.12459,0,0,19080.80078,19080.80078,0
3264.145024,1278.064227,1244.878303,19084.2793,19084.2793,41.253649
3264.165458,1248.626215,1216.615993,19105.9707,19105.9707,41.245801
3264.185891,1246.996198,1217.335418,19104.74414,19104.74414,41.242906
3264.206325,1249.842992,1219.364384,19084.86328,19084.86328,41.225643
3264.226758,1286.186743,1253.153884,19063.39453,19063.39453,41.240719
3264.247192,1267.318974,1234.676752,19026.61523,19026.61523,41.184292
3264.267626,1270.612734,1236.150755,18997.73633,18997.73633,41.158323
3264.288059,1279.811915,1247.548915,18988.54297,18988.54297,41.158329
3264.308493,1296.188636,1264.219181,18960.9375,18960.9375,41.146927
3264.328926,0,0,18940.94141,18940.94141,0
3264.34936,1269.252381,1235.55562,18927.65625,18927.65625,41.085723
3264.369794,0,0,18905.69922,18905.69922,0
3264.390227,1277.777915,1244.532473,18883.74023,18883.74023,41.049711
