SN42: c:-0.051432220132559006 mwebv:0.07314493589825093 t0:58828.7378037703 x0:0.0002660432480647601 x1:0.483606837419944 z:0.11333273712555164 
SN43: c:-2.633601779148522 mwebv:0.08351648302814577 t0:58608.37645359513 x0:0.006223529559129386 x1:-1.2370082272589493 z:0.05245768158513643 
SN44: c:0.07540414074217311 mwebv:0.011569357983788806 t0:58724.551158558585 x0:0.0002925791658569447 x1:-1.1439990813892695 z:0.1120879102592088 
SN45: c:-0.05729862381306724 mwebv:0.021012811380661023 t0:58781.01412198609 x0:0.00015818601862417796 x1:0.5070272109486412 z:0.13795776523931724 
SN46: c:-0.0038721211346607683 mwebv:2.367971887515804 t0:58648.83840893603 x0:0.00055903740768082 x1:-0.25299907339469985 z:0.0769614163233337 
SN47: c:-0.0870832411736039 mwebv:0.013151668842323324 t0:58844.15607197504 x0:0.0004128775775268485 x1:0.08192189814395211 z:0.11007883649408218 
SN48: c:-0.22272497320835632 mwebv:0.05094182884017612 t0:58751.8704890394 x0:0.00044019932104743213 x1:-0.06159406068654362 z:0.13476320138126843 
SN49: c:-0.019708144567136845 mwebv:0.07145532343141042 t0:58715.39837109124 x0:0.0003256977677380887 x1:0.5546100241994742 z:0.10986540563971298 
SN50: c:-0.07123972623716138 mwebv:0.15346181166537362 t0:58677.06535844428 x0:0.00014600678959992956 x1:0.7464726163402439 z:0.1306953956321468 
SN51: c:-0.02010231023383977 mwebv:0.049134082694978834 t0:58761.7790496061 x0:0.0014625199145842714 x1:-0.6643293013313532 z:0.04354886314790915 
SN52: c:-0.03926262317877406 mwebv:0.03532969316073057 t0:58666.42836109973 x0:0.0014113957327426387 x1:-0.4753705259564747 z:0.05371128809516365 
SN53: c:-0.040070828162290184 mwebv:0.022169820020439462 t0:58876.2498508484 x0:0.00017670007392656153 x1:0.4192318891508788 z:0.13145744330071757 
SN54: c:0.03143456471759017 mwebv:0.1190970549462487 t0:58813.65020108099 x0:0.0002928523160416018 x1:-0.9552637336913261 z:0.11717050980528619 
SN55: c:-0.02323244186355231 mwebv:0.08821641932871321 t0:58588.612056481565 x0:0.0003144850856319233 x1:0.6262670642756153 z:0.09759848913137778 
SN56: c:-0.15924071851634283 mwebv:0.08744107174095948 t0:58887.25786739395 x0:0.00013627553864459956 x1:0.05752730969486431 z:0.14654233804179423 
SN57: c:-0.0168201680094896 mwebv:0.05276093439923279 t0:58836.25881875107 x0:0.00023868114595273232 x1:-0.23591431648731578 z:0.12256712264903413 
SN58: c:-0.007862810059820714 mwebv:2.3912475802088915 t0:58665.419909431395 x0:0.00013670006682300827 x1:-0.6413885041191204 z:0.1200885660352141 
SN59: c:-0.04570242033082978 mwebv:0.07141133698024747 t0:58699.58831878774 x0:0.0001162124335925511 x1:-1.7321528906176253 z:0.14935212162287795 
SN60: c:0.004516089793729342 mwebv:0.12832993744026527 t0:58808.02082012738 x0:0.0002881026305225437 x1:-0.9791978514184775 z:0.13454636445188775 
SN61: c:-0.024590207162957678 mwebv:0.01209911096797202 t0:58800.00463211178 x0:0.00019178989622131135 x1:0.05668416403020708 z:0.1253614438137326 
SN62: c:-1.017058004693221 mwebv:0.05212591653183319 t0:58822.60945878884 x0:0.00700389108621716 x1:-5.1050224428511 z:0.1364121861677314 
SN63: c:0.016289686757464384 mwebv:0.13608872215094778 t0:58604.38617667496 x0:0.00029797701438091686 x1:0.10997901019102585 z:0.11046295232516054 
SN64: c:0.09505510476194905 mwebv:0.029733303769894255 t0:58698.091088935354 x0:0.0005046064780584917 x1:-0.09063146246321906 z:0.09784643484682479 
SN65: c:1.2982438525759092 mwebv:0.11807124481482799 t0:58614.69693991917 x0:5.574363581497295e-05 x1:12.663707932598385 z:0.14197781048068348 
SN66: c:0.010346797874378361 mwebv:0.05429252820712532 t0:58599.34899016634 x0:0.00011367473468614801 x1:0.3038559304195427 z:0.1322964444124756 
SN67: c:-0.09375751372373883 mwebv:0.024657107712950987 t0:58856.71746001251 x0:0.00021238371822294777 x1:-1.9726269338015638 z:0.12626231261655055 
SN68: c:-0.0259867414265823 mwebv:0.08729635073290738 t0:58937.808366908524 x0:0.0002144265575027577 x1:0.8955722782458706 z:0.11919730455873093 
SN69: c:0.05155747726201413 mwebv:0.02791993176599964 t0:58705.80012546939 x0:0.0005979585569194422 x1:-0.7411778245573678 z:0.08771428059234977 
SN70: c:0.012786664110823137 mwebv:0.12636133967506905 t0:58809.639186622895 x0:0.00017604534929188784 x1:0.2581718639625445 z:0.141256156301556 
SN71: c:-0.036904443715602746 mwebv:0.03352002212316419 t0:58670.391414314865 x0:0.00014095711919254387 x1:0.12689269875540857 z:0.1475958100480188 
SN72: c:0.07334833565415728 mwebv:0.009566513300413785 t0:58896.080883774055 x0:0.00015354915094710343 x1:0.11269830891396108 z:0.1498256556165852 
SN73: c:0.16179742161464764 mwebv:0.1723560039614627 t0:58861.66454979421 x0:0.0002728197670379674 x1:-0.8280805032985361 z:0.11911269080115226 
SN74: c:0.1483309783523865 mwebv:0.036192031511529194 t0:58589.44382994245 x0:0.0003053609580586279 x1:0.6603669173478841 z:0.10081754463851653 
SN75: c:-0.03239241331479241 mwebv:0.01385737821750229 t0:58689.3444323699 x0:0.00024704564338601524 x1:1.1762931244848658 z:0.13697055162580168 
SN76: c:0.0436328669111658 mwebv:0.022179698332542 t0:58678.14514207358 x0:0.0008302810416242302 x1:-0.4277441210626218 z:0.08632576835883043 
SN77: c:0.09744103123252225 mwebv:0.010651455173364893 t0:58694.74034607046 x0:0.00021778641036392888 x1:0.34100579832164485 z:0.10633296415743043 
SN78: c:0.08966189329732684 mwebv:0.04849699723694314 t0:58837.65328928391 x0:0.00031126411806553706 x1:0.4227514643795379 z:0.12652883631499467 
SN79: c:0.07338346084752712 mwebv:0.11616634125254159 t0:58765.37503340779 x0:0.00017543028931197934 x1:-1.576066185405972 z:0.14368178575342444 
SN80: c:-0.02410681749268708 mwebv:0.6648884563329336 t0:58660.20322636345 x0:0.00039368663139587555 x1:0.4798548377228131 z:0.12232665425407246 
SN81: c:0.08491997300110679 mwebv:2.626217334841153 t0:58705.980992005265 x0:0.0006708559392980457 x1:-0.21189703862691522 z:0.06493330787089138 
SN82: c:0.17040569014435633 mwebv:0.03718996546051782 t0:58867.46570926298 x0:0.000338047391606315 x1:0.7908861803835623 z:0.10987018250516259 
SN83: c:0.05634279922123606 mwebv:0.030219600588848004 t0:58709.650189940396 x0:0.0007137306764598 x1:-0.33861518563653253 z:0.09510338477051761 
SN84: c:-0.05580737059435487 mwebv:0.14882120019308503 t0:58833.67875959037 x0:0.00029894819482537447 x1:1.1396760884519261 z:0.12632114474040088 
SN85: c:-0.05413130941460159 mwebv:0.1069595137384655 t0:58626.862577031694 x0:0.0004713986341179448 x1:0.1733414852887636 z:0.08928518180892037 
SN86: c:-0.03215321283226371 mwebv:0.052335151358137946 t0:58845.65795042665 x0:0.0002427907800584831 x1:0.41134760117855695 z:0.13382538252770929 
SN87: c:0.022945105457371166 mwebv:0.0625499663700175 t0:58625.08001724091 x0:0.0002726287698192529 x1:-0.15027842658290802 z:0.12412177758564394 
SN88: c:-0.013030221766788 mwebv:0.02717864959557761 t0:58722.73364625423 x0:0.00025291873103561093 x1:-0.28088140870957023 z:0.13145692344741122 
SN89: c:0.32337943378562567 mwebv:0.19602595844634785 t0:58807.24852598996 x0:0.00038944300558825605 x1:0.0037416779055361956 z:0.10777024708960764 
