SN63: c:0.056827545866430275 t0:1.1092911991331036 x0:2.939310648589094e-05 x1:0.6359984084999428 
SN64: c:0.36902734085559535 t0:7.90844493110775 x0:0.0006826585900649351 x1:0.6568213473899192 
SN65: c:0.040703596425688424 t0:0.3565365963383517 x0:5.7336958704660006e-05 x1:0.32165875565223917 
SN66: c:0.02473580560815807 t0:0.19538263588910726 x0:3.868132783565175e-05 x1:0.2846779955057095 
SN67: c:0.0670782550194883 t0:3.3048011741842305 x0:4.995314737583907e-05 x1:0.6946318381286155 
SN68: c:0.29017249669513356 t0:19.185963202184997 x0:0.001377345844759829 x1:1.7775780990068493 
SN69: c:0.0025202541817926313 t0:0.06043667673919336 x0:0.00011976306171041413 x1:0.027579150737935838 
SN70: c:0 t0:0 x0:0 x1:0 
SN71: c:0.04916191361119599 t0:1.0365626563493713 x0:1.5844211144790138e-05 x1:0.5733115220614258 
SN72: c:0.061510208682847345 t0:12.291332781536289 x0:0.00040770203307028774 x1:0.7005276828967028 
SN73: c:0.0725425842544473 t0:7.436285057242115 x0:4.5530577080323726e-05 x1:0.6971103885022737 
SN74: c:0.02423129066443422 t0:1.742423526266191 x0:9.691126922018266e-06 x1:0.5573509504535161 
SN75: c:0.03046041900350782 t0:0.4231873925468017 x0:4.0507294495184115e-05 x1:0.4194733509630556 
SN76: c:0 t0:0 x0:0 x1:0 
SN77: c:0.051957879447793266 t0:1.4128961777881428 x0:1.3938354452976696e-05 x1:0.6833775043185805 
SN78: c:0.034048032509845914 t0:2.9155856827303253 x0:7.357407918057998e-05 x1:0.5659984921708312 
SN79: c:0 t0:0 x0:0 x1:0 
SN80: c:0 t0:0 x0:0 x1:0 
SN81: c:0 t0:0 x0:0 x1:0 
SN82: c:0.04867483593116301 t0:0.6542561326722096 x0:1.8835149713110194e-05 x1:0.6504819508273949 
SN83: c:0.10872842663445884 t0:1.6229994789842952 x0:3.3711845954925715e-05 x1:0.7254250671374478 
SN84: c:0.07250855984775759 t0:9.276721128717824 x0:6.10205409485299e-05 x1:0.7212375445518646 
SN85: c:0.12467687734969801 t0:4.245056243267199 x0:0.00013147171036917896 x1:0.6434360495262088 
SN86: c:0.04716587539900605 t0:4.249244038205982 x0:8.450191587182262e-05 x1:0.6800618220961526 
SN87: c:0.06459577905517454 t0:16.786707013905378 x0:0.00015640298800265428 x1:0.6879128793691093 
SN88: c:0.1309077127890334 t0:6.217225084796852 x0:3.9686861191324896e-05 x1:0.6835377444106292 
SN89: c:0 t0:0 x0:0 x1:0 
SN90: c:0.027663979822155734 t0:0.3050952643594506 x0:0.00017111754284750136 x1:0.43315464839237916 
SN91: c:0.07205772304513021 t0:2.1345926235661907 x0:6.260159525258177e-05 x1:0.7148246147691667 
SN92: c:1.0556761437910809 t0:6.463852053468605 x0:0.0002793789789358611 x1:1.6638682576634185 
SN93: c:0.06504538784921526 t0:2.526773008595075 x0:5.0648780253082624e-05 x1:0.6792337473797806 
SN94: c:0.07738854128996686 t0:2.340473178184869 x0:9.954697615036384e-05 x1:0.7620483610932257 
SN95: c:0.3765052902687207 t0:1.5818678260008512 x0:0.0038218536593270683 x1:2.019197343960321 
SN96: c:0.07134852177998492 t0:1.6235826610207136 x0:3.0006923572061362e-05 x1:0.5602722794783535 
SN97: c:0.2947525036100131 t0:19.00750906626926 x0:0.0010781608725639416 x1:1.5554762815865595 
SN98: c:0.05299329384529588 t0:3.286397303801084 x0:2.924821681105689e-05 x1:0.7305019879563875 
SN99: c:0.07652219712524655 t0:14.29134836388708 x0:0.00034239244339693864 x1:0.796122531935064 
SN100: c:0.04360009291258698 t0:2.348018123461253 x0:1.7820026171917442e-05 x1:0.7301236231388444 
SN101: c:0.01889864442949231 t0:0.2167428809993511 x0:3.0970004062922765e-05 x1:0.2022988798420864 
SN102: c:0 t0:0 x0:0 x1:0 
SN103: c:0.009360401154159991 t0:0.2748629508416586 x0:1.963593712893246e-05 x1:0.16258685712605692 
