SN1: c:0.03736600315805755 t0:0.06325811861101868 x0:1.127239558209306e-05 x1:0.08551909244543214 
SN2: c:0.054893955517993934 t0:0.06409873945642108 x0:1.5823162218301513e-05 x1:0.11482251807002568 
SN3: c:0.03922351961564105 t0:0.06760842641197948 x0:7.915320949226754e-06 x1:0.1081224304199318 
SN4: c:0.05892889524766703 t0:0.048583020832345426 x0:6.759273211834086e-06 x1:0.10558589665726109 
SN5: c:0.01896802746704733 t0:0.024126064116756298 x0:2.822350198117455e-05 x1:0.044152187750573814 
SN6: c:0.010588989306740048 t0:0.0388766291130328 x0:2.022816409018528e-05 x1:0.043572893027150957 
SN7: c:0.04956167105673149 t0:0.10137367974000186 x0:6.506857595328971e-06 x1:0.14054298029698015 
SN8: c:0.06413533247476029 t0:0.06539260102658645 x0:6.964379817614646e-06 x1:0.1301433763548745 
SN9: c:0.016011032433973407 t0:0.05611340307009799 x0:8.542445785389018e-06 x1:0.06464305309766173 
SN10: c:0.019633927912627695 t0:0.04620351018773156 x0:7.085348537790109e-06 x1:0.07660734577363519 
SN11: c:0.04581397028550386 t0:0.06015998937978396 x0:6.592540088117406e-06 x1:0.11763150092340749 
SN12: c:0.02295222265634875 t0:0.05836837776162729 x0:6.5761380561439e-06 x1:0.08359791677124892 
SN13: c:0.05146852726090874 t0:0.06507536486472001 x0:1.0147076349941553e-05 x1:0.128166019639334 
SN14: c:0.04608367537931158 t0:0.06326286254826619 x0:9.914693322662869e-06 x1:0.11309460993986305 
SN15: c:0.016202072264879304 t0:0.04329486664262921 x0:1.0114633652620602e-05 x1:0.067818130071965 
SN16: c:0.03615963563637447 t0:0.051986205121106625 x0:9.442510737287551e-06 x1:0.0855741655723381 
SN17: c:0.04284965420460806 t0:0.061015397638516614 x0:1.0466302371089175e-05 x1:0.10716384018120002 
SN18: c:0.04645710626832343 t0:0.06872536635326201 x0:6.654413695185929e-06 x1:0.11804774270420196 
SN19: c:0.053233968249159366 t0:0.06442886048822391 x0:1.6794066161368714e-05 x1:0.08846413977365018 
SN20: c:0.04822594150571301 t0:0.05590624110144555 x0:1.2793718988273553e-05 x1:0.07436439777530475 
SN21: c:0.03168403679618339 t0:0.16166117247373066 x0:1.8880700340563796e-05 x1:0.09713442201411515 
SN22: c:0.03283931729926179 t0:0.06239745820343888 x0:5.391986632115961e-06 x1:0.0924657700605128 
SN23: c:0.0816041786303682 t0:0.10783552215699883 x0:0.00011908912783113187 x1:0.13900502590453317 
SN24: c:0.04561033452923276 t0:0.06483990877259489 x0:1.0941718654354837e-05 x1:0.11572553332613236 
SN25: c:0.05497688809844231 t0:0.07261829596859316 x0:7.773040991385977e-06 x1:0.1367383503992261 
SN26: c:0.04090571942992556 t0:0.04502953285822802 x0:1.411545152841076e-05 x1:0.07897954804914847 
SN27: c:0.03812435115826411 t0:0.05611870507028866 x0:9.367552976870417e-06 x1:0.08747113257119382 
SN28: c:0.04261007612473968 t0:0.06632208873692519 x0:6.788586289336271e-06 x1:0.14092071918323137 
SN29: c:0.042832920155750874 t0:0.06334926872923428 x0:8.142188824923888e-06 x1:0.10240988826225904 
SN30: c:0.03255151451066821 t0:0.03471742233169565 x0:1.3541300788544057e-05 x1:0.07059294074777381 
SN31: c:0.022583971112450467 t0:0.04001169900007166 x0:9.94219178397898e-06 x1:0.06607794803938706 
SN32: c:0.01645845901591594 t0:0.03624129622402713 x0:4.2060040646896304e-05 x1:0.040860092209897836 
SN33: c:0.07957984538515582 t0:0.07598869533306576 x0:2.5982917094072256e-05 x1:0.1935000428261906 
SN34: c:0.07315622694309623 t0:0.06836485027085494 x0:1.321337389815001e-05 x1:0.1373042163666642 
SN35: c:0.018049622872341478 t0:0.04481541712298108 x0:1.751370697345271e-05 x1:0.0521438700738126 
SN36: c:0.03451976613882319 t0:0.053036005753651985 x0:2.9100490854115074e-05 x1:0.0961939353466801 
SN37: c:0.03134075784925671 t0:0.04400935969559452 x0:1.4904641007982832e-05 x1:0.07294227795405524 
SN38: c:0.046458549055419004 t0:0.06956295409507206 x0:5.276510239180227e-06 x1:0.1340612672465107 
SN39: c:0.0453568059205987 t0:0.05618150967903541 x0:2.5370736814125795e-05 x1:0.08551805271312095 
SN40: c:0.010549178416676972 t0:0.02929280074794903 x0:1.78986257018891e-05 x1:0.046604115305480885 
SN41: c:0.01078250708175009 t0:0.03652406077141018 x0:1.0905391867094995e-05 x1:0.045910930960807526 
SN42: c:0.03795243932474703 t0:0.06253127707837287 x0:1.1017334355121414e-05 x1:0.08135946995802226 
SN43: c:0.04957726732045038 t0:0.06769487260903348 x0:7.177552910856462e-06 x1:0.14291898933759833 
SN44: c:0.029300804639186395 t0:0.06546571465645115 x0:7.278348764518968e-06 x1:0.09192964800462117 
SN45: c:0.035402410258109106 t0:0.06347981996884045 x0:7.401027814043867e-06 x1:0.0906070987869662 
SN46: c:0.0476879186285542 t0:0.05864092978285745 x0:8.815318106758235e-06 x1:0.11934385464553769 
SN47: c:0.03687684031098316 t0:0.06300098092560229 x0:6.475399302256475e-06 x1:0.12689235702101243 
SN48: c:0.03587649269918222 t0:0.058766216587299025 x0:1.2643398188248456e-05 x1:0.08977881555290246 
SN49: c:0.0383299680044953 t0:0.0666426863587117 x0:9.899519667193302e-06 x1:0.0878043243047128 
SN50: c:0.04872451873803657 t0:0.060810992095089195 x0:1.1776658035021616e-05 x1:0.12648857395485583 
SN51: c:0.07816687591267799 t0:0.47549397653983305 x0:2.875342278151648e-05 x1:0.4618873172397311 
SN52: c:0.04569962633180255 t0:0.06206975998084583 x0:7.7208804194925e-06 x1:0.10746161294007732 
SN53: c:0.06612979203853046 t0:0.06167731213875393 x0:1.0191093348401875e-05 x1:0.11862986342501927 
SN54: c:0.035168277979286205 t0:0.06482630165237921 x0:7.443340977570278e-06 x1:0.09002701380054921 
SN55: c:0.059934678526958766 t0:0.06545802204163602 x0:3.7993225579263853e-06 x1:0.15596985181232523 
SN56: c:0.04669273973426681 t0:0.11037081047348538 x0:9.153704649717028e-06 x1:0.08810214587820417 
SN57: c:0.029451004344831857 t0:0.04492907973288307 x0:4.5441403644405975e-06 x1:0.10399806883994714 
SN58: c:0.042051426095014714 t0:0.05751301927055754 x0:1.4765517705956755e-05 x1:0.09552336333602554 
SN59: c:0.8730761331351875 t0:0.760151612636375 x0:9.774849600415509e-05 x1:2.978430426053726 
SN60: c:0.058725696310509376 t0:0.10641032679822848 x0:1.5982074914217046e-05 x1:0.12194977568939286 
SN61: c:0.08000586326649169 t0:0.09800292503893496 x0:2.3824763785525417e-05 x1:0.2179087932564955 
SN62: c:0.024460876901064518 t0:0.04432430936900113 x0:5.1142297959650965e-06 x1:0.09841327442571687 
SN63: c:0.03422328318003343 t0:0.06631187858812253 x0:5.042486538748843e-06 x1:0.10563912540294793 
SN64: c:0.0730764370059207 t0:0.1476746823344754 x0:1.0248750785211576e-05 x1:0.18349650936991263 
SN65: c:0.03649331533471532 t0:0.02425644759219286 x0:1.9937220097724174e-05 x1:0.057213455632420696 
SN66: c:0.07941613629796372 t0:63.77821024634019 x0:1943.5546129344216 x1:0.783362481181447 
SN67: c:0.05875488450503491 t0:0.06680161432136689 x0:1.049965308687593e-05 x1:0.1234338606556048 
SN68: c:0.03313018779496967 t0:0.041054781131211575 x0:1.7479518364681687e-05 x1:0.062029034570439054 
SN69: c:0.019056970970041512 t0:0.05363284390174977 x0:4.730220383674913e-06 x1:0.09401577506647056 
SN70: c:0.03279129702083884 t0:0.05831179702973955 x0:7.698942271268891e-06 x1:0.1052595129736912 
SN71: c:0.05865997460948974 t0:0.07503544778216106 x0:1.276321235224018e-05 x1:0.11691922489068213 
SN72: c:0.03584829257410418 t0:0.06448555088630088 x0:6.949230386044575e-06 x1:0.11566078846767751 
SN73: c:0.04290962351168758 t0:0.06787063383260201 x0:5.227264363080493e-06 x1:0.11535748115858321 
SN74: c:0.039749428606047764 t0:0.054273966105735635 x0:1.3966641306125583e-05 x1:0.11381826459200572 
SN75: c:0.027335578592815823 t0:0.051226739147501144 x0:9.001725382198012e-06 x1:0.05088064359362289 
SN76: c:0.04532483308690323 t0:0.0849575099513589 x0:5.945303868176958e-06 x1:0.1452027106974955 
SN77: c:0.026347938278669606 t0:0.06479995159911828 x0:8.581950179767261e-06 x1:0.11166379370864996 
SN78: c:0.02993430250444976 t0:0.05263828400899365 x0:5.686298753197281e-06 x1:0.10964911994841137 
SN79: c:0.030518832975724497 t0:0.05856824000348954 x0:1.0967008172655837e-05 x1:0.08507609400032864 
SN80: c:0.08288815365406926 t0:0.06665634787766474 x0:1.945357192393891e-05 x1:0.19818931379549418 
SN81: c:0.061348010197044646 t0:0.0986880712918456 x0:1.0339523346831155e-05 x1:0.15670513056330526 
SN82: c:0.050006301617188824 t0:0.06962710790848761 x0:8.320566743830602e-06 x1:0.10304752952642598 
SN83: c:0.030194648914464065 t0:0.04837805820559539 x0:8.221597824920005e-06 x1:0.0782653215731786 
SN84: c:0.02104108148688732 t0:0.0290104701855216 x0:9.278054008412444e-05 x1:0.041234814074886335 
SN85: c:0.04994921195828019 t0:0.06713180482245126 x0:7.0935439661685955e-06 x1:0.1256307124810324 
SN86: c:0.057068166495123626 t0:0.07340169370441318 x0:4.340832811468332e-06 x1:0.15649435731460792 
SN87: c:0.06258046864112145 t0:0.05928198729340599 x0:9.26894368600525e-06 x1:0.11595775122614628 
SN88: c:0.02510344710685462 t0:0.17883961266546922 x0:2.2232569995410317e-05 x1:0.1100255204005372 
SN89: c:0.05736971797407916 t0:0.06135597312500441 x0:1.777845868352157e-05 x1:0.10988074041386577 
SN90: c:0.053308542792364376 t0:0.06725418403247035 x0:1.742278227586555e-05 x1:0.11010016733695509 
SN91: c:0.05131205958163111 t0:0.06732486643429937 x0:1.0603210730002087e-05 x1:0.11931770100253324 
SN92: c:0.04910416433527756 t0:0.06099604360471002 x0:4.632069953708885e-06 x1:0.11444366434798353 
SN93: c:0.04491384992142098 t0:0.05798691508372713 x0:1.1192868494445468e-05 x1:0.1126304327030657 
SN94: c:0 t0:0 x0:0 x1:0 
SN95: c:0.03552122751499826 t0:0.0670887146113972 x0:5.134840449790017e-06 x1:0.10847623722497861 
SN96: c:0.05666905126825255 t0:0.05951323914982154 x0:2.1973889665589454e-05 x1:0.11048895952116737 
SN97: c:0.04704366536878674 t0:0.06666918365262142 x0:8.103703864750008e-06 x1:0.11134379577008756 
SN98: c:0.028088476141583853 t0:0.021547692349073933 x0:1.5440508947055566e-05 x1:0.06618582821400189 
SN99: c:0.05040653724316328 t0:0.05620952674973989 x0:8.476046321319659e-06 x1:0.08452776414166475 
SN100: c:0.04583502570374061 t0:0.053588072666717085 x0:2.426531626893138e-05 x1:0.09036443866106882 
SN101: c:0.03529583945612849 t0:0.06451134561960425 x0:5.764102144977639e-06 x1:0.09717254549889559 
SN102: c:0.018689038028675498 t0:0.04458343392073042 x0:2.249512948292634e-05 x1:0.04871529544722561 
SN103: c:0.042057009514727024 t0:0.05849727122587876 x0:8.58372400751321e-06 x1:0.12922436663625936 
SN104: c:0.06451251577150402 t0:0.09689106832230757 x0:1.6909722298415378e-05 x1:0.24026597659101903 
SN105: c:0.06316795288595813 t0:0.067184351319809 x0:1.3142970498705207e-05 x1:0.14611279613099598 
SN106: c:0.056554888511639305 t0:0.06781965870941593 x0:7.969738557610195e-06 x1:0.13071283718009027 
SN107: c:0.04448079220894706 t0:0.07128524742115017 x0:4.298633914988678e-06 x1:0.15142345658533285 
SN108: c:0.048388485905651764 t0:0.0596385270083938 x0:1.0707321370017035e-05 x1:0.11000572947560906 
SN109: c:0.07015775655878119 t0:0.10036375933475612 x0:1.6759243048049755e-05 x1:0.1462399053686678 
SN110: c:0.04729365809626416 t0:0.24173029658589737 x0:2.678185002871186e-05 x1:0.4204658553837266 
SN111: c:0.030647186353960795 t0:0.054630488299220924 x0:4.720286111479601e-06 x1:0.09755340695634293 
SN112: c:0.058776877253900614 t0:0.06000195829087467 x0:1.610224928415725e-05 x1:0.11211489736396847 
SN113: c:0.0502227295511868 t0:0.05794668502585415 x0:1.8218571239544027e-05 x1:0.0778158902712677 
SN114: c:0.03921041148699054 t0:0.06461906984848097 x0:8.400873560697389e-06 x1:0.11459234457532419 
SN115: c:0.05642876206098942 t0:0.07421365269290911 x0:1.662661405424225e-05 x1:0.1833294622335324 
SN116: c:1.2526481547358894 t0:1.52573190082288 x0:0.0004670674905159786 x1:4.206122158451078 
SN117: c:0.03656865894815286 t0:0.06122477920204831 x0:4.940120778248482e-06 x1:0.1062550475160426 
SN118: c:0.08158078076459908 t0:1.9678929421983715 x0:7.57853212695683e-05 x1:0.6920656338917115 
SN119: c:0.015612949129447606 t0:0.04578071472948049 x0:1.68555450269192e-05 x1:0.05079498950555943 
SN120: c:0.037331176017425534 t0:0.05247072169952464 x0:4.031162918604639e-06 x1:0.1337833888365242 
SN121: c:0.21693064986664623 t0:0.236856000532587 x0:0.00025515842459908615 x1:0.2431142460210501 
SN122: c:0.054025973568530034 t0:0.061037973434463676 x0:1.1106994088628265e-05 x1:0.11643784891144067 
SN123: c:0.058667058337267576 t0:0.04440541966713723 x0:7.32844318599672e-06 x1:0.11467796985822501 
SN124: c:0.01947291109573927 t0:0.037256384944949934 x0:1.3288958353575999e-05 x1:0.06048163970956031 
SN125: c:0.019852092725563684 t0:0.0519774613812211 x0:4.719637565141634e-06 x1:0.08983527944513227 
SN126: c:0.0573079930862012 t0:0.0668244095584755 x0:5.994306496068629e-06 x1:0.15412977605345154 
SN127: c:0.03926318880790765 t0:0.05316005803427391 x0:3.847283621254686e-05 x1:0.06242008954157505 
SN128: c:0.05614515884826518 t0:0.06610907250578063 x0:1.230167593637657e-05 x1:0.1446470421000046 
SN129: c:0.045731442567450466 t0:0.06789083916419428 x0:4.804318107198656e-06 x1:0.15927201687497133 
SN130: c:0.04376181843789752 t0:0.061362244717076346 x0:1.0022699706398179e-05 x1:0.10893082603953337 
SN131: c:0.04453734497406575 t0:0.0625853305380489 x0:1.069672761609786e-05 x1:0.1044147994117929 
SN132: c:0.01843016844889666 t0:0.03635722087237565 x0:2.9210523666199345e-05 x1:0.052234778466603606 
