+-----+-------------------+------------------+-------------------+------------------+
|  SN |      c-error      |     t0-error     |      x0-error     |     x1-error     |
+-----+-------------------+------------------+-------------------+------------------+
|  1  | 0.000888976649937 | 0.00957780891805 | 0.000267490284726 | 0.00749139859698 |
|  2  |  0.00224564945014 |  0.023236002069  | 5.72898303275e-05 | 0.0236193138773  |
|  3  |  0.00601161128238 | 0.0297324104498  | 2.72276109294e-05 | 0.0229714933602  |
|  4  |  0.0261549588994  |  0.198019400557  | 1.19948832879e-05 |  0.257225371574  |
|  5  |  0.00433866554719 | 0.0274245412295  | 3.92991443481e-05 | 0.0485946622156  |
|  6  |  0.0052767925848  | 0.0443547451474  | 4.30253535833e-05 | 0.0433576980082  |
|  7  | 0.000240115236253 | 0.00204579867564 | 0.000959244057795 | 0.00205552276465 |
|  8  |  0.00791590952408 | 0.0633747903928  | 4.14919425832e-05 | 0.0757175675046  |
|  9  |  0.00113819556064 | 0.0072135257659  | 9.56147243571e-05 | 0.0069809625976  |
|  10 |  0.0220092177461  |  0.226439906663  | 1.18902245482e-05 |  0.28717355684   |
|  11 |  0.0072358457661  | 0.0601541092972  | 2.35164764523e-05 | 0.0858989768168  |
|  12 |  0.00479026508654 | 0.0646807596592  | 0.000179596101263 |  0.103265671607  |
|  13 | 0.000752314055072 | 0.0110757259462  | 0.000494594884036 | 0.00705739300091 |
|  14 |  0.00962041889696 | 0.0868629210899  | 1.82626373304e-05 |  0.100237381402  |
|  15 |  0.0142439695653  |  0.10946193747   | 1.73065434364e-05 |  0.202693018783  |
|  16 |  0.0145146317863  |  0.122524187671  | 2.03749590963e-05 |  0.139707392732  |
|  17 |  0.00273508529131 | 0.0154453377927  | 5.20101908123e-05 | 0.0146941305932  |
|  18 |  0.0113367810548  | 0.0942863989045  | 9.81253085779e-06 | 0.0807533713711  |
|  19 |  0.0269287019218  |  0.689050501993  | 9.74266475345e-06 |  0.527477341513  |
|  20 | 0.000325756827328 | 0.00599846434397 | 0.000674094278012 | 0.0035731411032  |
|  22 |  0.0191587169981  |  0.332543245703  | 0.000236410787452 |  0.221913043134  |
|  23 |  0.00320159950758 | 0.0413616322772  |  7.6222117278e-05 | 0.0404017598166  |
|  24 |  0.00653892811383 | 0.0398076558741  | 1.59344677713e-05 | 0.0531856694964  |
|  25 |  0.00679427842667 | 0.0517719102942  |  1.8781440634e-05 |  0.063561353826  |
|  26 |   0.018119407662  |  0.146278469121  | 9.35049476457e-06 |  0.252977645677  |
|  27 |  0.0139251318631  |  0.109133971056  | 1.37759710957e-05 |  0.109409084052  |
|  28 |  0.00343171046499 | 0.0189425331671  |  5.704724981e-05  | 0.0230832657021  |
|  29 |  0.0137350511706  | 0.0965885508643  |  0.00016407934373 | 0.0993878154419  |
|  30 |  0.0117385171261  |  0.32291865161   | 8.59863009618e-06 |  0.15656867884   |
|  31 | 0.000960056680332 | 0.0104519787296  | 0.000167214626029 | 0.0083084220588  |
|  32 |  0.0136193605582  |  0.193275394842  | 1.06235661755e-05 |  0.136190212751  |
|  33 |  0.00418182593962 | 0.0357564708261  | 3.59344056262e-05 | 0.0572752219885  |
|  34 |  0.00235367795747 | 0.0216172851261  | 0.000130269629191 | 0.0422600046427  |
|  35 |  0.00369977399679 | 0.0329741052802  | 6.86024042728e-05 | 0.0250654115557  |
|  36 |  0.0152404260685  | 0.0948052299552  | 0.000129068737713 | 0.0957786551544  |
|  37 |  0.0103905234475  | 0.0749008630907  | 3.47510349281e-05 | 0.0953539141002  |
|  38 |  0.00963386860335 |  0.072607647952  | 1.45807997323e-05 | 0.0531966840063  |
|  39 |  0.00656585732771 | 0.0158602315628  | 2.25985727325e-05 | 0.0289327369904  |
|  40 |  0.0148523559795  |  0.109217548561  | 1.34671885836e-05 |  0.123649502008  |
|  41 |  0.0160228551889  | 0.0887650186709  | 9.97879924979e-06 |  0.145021038019  |
|  42 |  0.00486528637877 | 0.0290314300552  | 2.62256278354e-05 | 0.0377937998433  |
|  43 |  0.00436752052122 | 0.0229053219123  | 7.00333027397e-05 | 0.0434878867937  |
|  44 |  0.00283654677444 | 0.0201404852274  | 4.80505303587e-05 | 0.0251838614269  |
|  45 |  0.0243808352891  |  0.179382554393  | 1.16533123919e-05 |  0.173154981278  |
|  46 |  0.0104112566494  | 0.0846287215685  | 9.32713648215e-06 | 0.0753194226172  |
|  47 |  0.00675168127645 | 0.0879471131405  | 3.56608310665e-05 | 0.0557537666755  |
|  48 |   0.015154099693  | 0.0836710045445  | 9.75024918845e-06 |  0.10383663578   |
|  49 |  0.00888631292116 | 0.0810796205332  | 1.41854207817e-05 |  0.135976944742  |
|  50 |  0.00877056920561 | 0.0622180800334  |  0.00894037783748 | 0.0735923800862  |
|  51 |  0.00835293185616 |  0.138829940828  | 1.36954458422e-05 |  0.11103373619   |
|  52 |  0.00758196161423 | 0.0758829837727  | 0.000286054334217 | 0.0677515912058  |
|  53 |  0.00850176814443 | 0.0519954293752  | 2.37714189877e-05 | 0.0874981371117  |
|  54 |  0.0189517467024  |  0.182440320387  | 1.55241876976e-05 |  0.205495671761  |
|  55 |  0.00237910119586 | 0.0303420401959  | 0.000119324562821 |  0.033610942404  |
|  56 |  0.0118779874748  |  0.139793812147  | 1.58281503964e-05 |  0.153941364486  |
|  57 |  0.0100972011226  |  0.102576689732  |  7.6989092972e-06 |  0.105052875854  |
|  58 |  0.00611893008236 | 0.0354613510121  | 0.000215111548048 | 0.0449471631356  |
|  59 |  0.0201920160893  |  0.183560008414  | 1.66299281281e-05 |   0.1827650982   |
|  60 |   0.013270842111  |  0.175878991923  | 2.47966683756e-05 |  0.200381045026  |
|  61 |  0.00479041322804 | 0.0235984710437  |  1.9929503359e-05 | 0.0238402689555  |
|  62 |  0.00514894450354 | 0.0831992480211  | 2.70120951669e-05 | 0.0750296338087  |
|  63 |  0.0138142318929  |  0.10598155441   | 1.45222775606e-05 |  0.141973034293  |
|  64 |  0.0137817095729  |  0.159513542976  | 9.84366763971e-06 |  0.169062897359  |
|  65 |  0.00321476600748 | 0.0233119463796  | 0.000561947517642 | 0.0369178098702  |
|  66 |  0.0175049293453  |  0.138406270095  | 1.54877632038e-05 |  0.216209110633  |
|  67 |  0.00466969766917 | 0.0651614730595  | 1.19716071503e-05 | 0.0528377325618  |
|  68 |  0.0135542585821  |  0.223067251534  | 1.65289374135e-05 |  0.225935896757  |
|  69 |  0.0127196911821  | 0.0667736134693  | 1.31626019916e-05 |  0.084840625386  |
|  70 |   0.012259732073  | 0.0835469768454  | 1.38098522253e-05 |  0.163067547578  |
|  71 |  0.00855709481638 | 0.0927318683837  | 3.88511433218e-05 |  0.111452125991  |
|  72 |  0.00165677227919 |  0.012040829657  | 8.04104378011e-05 | 0.0116089478716  |
|  73 |  0.00554307005363 | 0.0416703443739  | 4.95165311818e-05 | 0.0685151522938  |
|  74 | 0.000973806205747 | 0.00610227975902 | 0.000623518316287 | 0.00650791700208 |
|  75 |  0.00353758140229 | 0.0293320054734  |  2.5879574624e-05 | 0.0393448520278  |
|  76 |  0.00584853684165 | 0.0343357588697  | 6.56303848864e-05 | 0.0784417140963  |
|  77 |  0.0138575037972  | 0.0904244065547  | 1.52539251805e-05 | 0.0931702104877  |
|  78 |  0.0138001648182  |  0.133401273903  | 8.77851324685e-06 |  0.108091989628  |
|  79 |  0.00845136942797 | 0.0650117362424  |  2.2131868382e-05 |  0.140355418336  |
|  80 |  0.0215704924746  |  0.130906050137  | 1.06807067603e-05 |  0.257633627213  |
|  81 |  0.00975010681878 | 0.0767416563957  | 9.02032265087e-06 | 0.0785189275204  |
|  82 |  0.0070365023017  | 0.0355221395054  | 2.01736644662e-05 | 0.0441919527429  |
|  83 |  0.00433326950111 | 0.0764937227561  | 3.43964966497e-05 | 0.0515128244254  |
|  84 |  0.00327087380868 | 0.0359667615998  | 5.07799878477e-05 | 0.0601951290048  |
|  85 |  0.00780837399696 | 0.0821710451496  | 2.17324019698e-05 | 0.0872569150604  |
|  86 |  0.00670990509932 | 0.0412895229033  | 1.77428274216e-05 | 0.0548387844673  |
|  87 |  0.0112329991225  |  0.118321524187  | 8.86240670124e-06 |  0.110702965489  |
|  88 |  0.0124912598803  | 0.0862808256242  | 1.09480200749e-05 |  0.119638356223  |
|  89 |  0.00499570765826 | 0.0884299771572  | 4.08945744944e-05 | 0.0644966779353  |
|  90 |  0.00481674996657 | 0.0350544501758  |  2.6226904683e-05 | 0.0369118028001  |
|  91 |  0.00558513428378 |  0.07535921117   | 3.15767564438e-05 | 0.0972463077895  |
|  92 |  0.00146929336935 | 0.0154202485046  |  0.00010399986171 | 0.0126481176631  |
|  93 |  0.00414233492287 | 0.0581867832954  | 2.85819714864e-05 | 0.0616205722648  |
|  94 |  0.00650543163673 | 0.0357714132387  |  2.1587278106e-05 | 0.0389594787057  |
|  95 | 0.000756019967408 | 0.00842245619082 | 0.000175495477639 | 0.0132190889416  |
|  96 |  0.00668547070605 | 0.0502386703837  | 1.91672302523e-05 | 0.0283488359394  |
|  97 |  0.00487911079038 | 0.0402367046551  | 0.000108837222861 | 0.0614200545289  |
|  98 |   0.01503957932   |  0.134099129229  | 2.49185099346e-05 |  0.130473317409  |
| 100 |  0.0270165902471  |  0.293511428311  |  0.0409239022387  |  0.094079804899  |
+-----+-------------------+------------------+-------------------+------------------+
