SN47: c:0.03666779124344974 mwebv:0.21683791466794952 t0:58773.95293246529 x0:2.0416330253736317 x1:-0.43332303845094755 z:0.1486586415459325 
SN48: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN49: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN50: c:0.09012647526059986 mwebv:0.019377160750087233 t0:58731.839456887064 x0:0.00028525956314880835 x1:-1.7317509300761211 z:0.11677698513513027 
SN51: c:0.025647006576910054 mwebv:0.17878349796023094 t0:58821.6769994287 x0:6.867112780484898e-06 x1:-0.7501559896084508 z:0.12363815345925411 
SN52: c:0.03661104967298989 mwebv:0.014344873233280769 t0:58832.29854123154 x0:0.0014609667929648045 x1:-0.7175997500979749 z:0.14080131931672804 
SN53: c:0.05455206801702508 mwebv:0.037051199584267905 t0:58645.65895683752 x0:0.00043561150998433804 x1:-0.42954730784416695 z:0.10926352374868414 
SN54: c:0.039204635154897 mwebv:0.0932218074692948 t0:58799.508154132316 x0:0.0005561119329685755 x1:-0.2581768226422837 z:0.14824318596238517 
SN55: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN56: c:0.02860633924135422 mwebv:0.014309853987356761 t0:58571.49140243622 x0:0.00056729882844885 x1:-0.566163876110668 z:0.14486475846568897 
SN57: c:-1.08035443569397 mwebv:0.1531893946494952 t0:58554.06461134219 x0:0.00036014660823849645 x1:0.408096706952136 z:0.12485884807200072 
SN58: c:0.0501767146202094 mwebv:0.08194511916104326 t0:58694.03886845934 x0:0.0002475261513685816 x1:-0.6737300784403742 z:0.12469736790788559 
SN59: c:0.02011370883479839 mwebv:0.06993670226669868 t0:58856.20930805253 x0:0.0013996609305376173 x1:-1.309474346575607 z:0.06678918050571012 
SN60: c:-0.008432969454453139 mwebv:0.027504004397205833 t0:58781.362729415414 x0:0.0008267547117942712 x1:0.16935644371805697 z:0.061306478898007444 
SN61: c:0.028805021430791833 mwebv:0.7111734286452462 t0:58821.98617909292 x0:0.00048542319858082183 x1:-0.5294291190492115 z:0.09573866263035057 
