+-----------------------------------------------------------------------------------+
|                               sm_good_seeing_nofails                              |
+-----+-------------------+------------------+-------------------+------------------+
|  SN |      c-error      |     t0-error     |      x0-error     |     x1-error     |
+-----+-------------------+------------------+-------------------+------------------+
|  1  |  0.0007710747784  | 0.00742441266785 | 0.000280494205855 | 0.00767436068773 |
|  2  |  0.00437857425276 | 0.0513593075747  | 8.09415324469e-05 | 0.0481768942107  |
|  3  |  0.0213115709058  |  0.182251535351  | 8.41934908317e-05 |  0.284696079226  |
|  4  |   0.287255910313  |  7.50269964079   | 8.71094837953e-05 |  6.19251813283   |
|  5  |  0.0143686109694  | 0.0881357690076  | 0.000147785756694 |  0.15122415727   |
|  6  |  0.0211347133275  |  0.150691628118  | 0.000198618190505 |  0.204608562647  |
|  7  | 0.000194886944823 | 0.00137131907174 | 0.000783649153133 | 0.00188586115204 |
|  8  |  0.0173777030112  |  0.142637634883  | 9.72849908238e-05 |  0.217740263784  |
|  9  |  0.00270970289462 | 0.0153113442419  | 0.000247618217763 | 0.0187698155601  |
|  10 |   0.183210474296  |  2.36695360162   | 9.76604060467e-05 |   2.5913247302   |
|  11 |  0.0291449386593  |  0.309458033608  | 9.74840727486e-05 |  0.371061656874  |
|  12 |  0.0289317296013  |  0.261779465945  |  0.0199390408774  | 0.0927030777581  |
|  13 |  0.00088037587334 | 0.0115935352229  |  0.00054487313651 | 0.00907200073097 |
|  14 |  0.0365461529177  |  0.338560676148  | 5.37134596759e-05 |  0.346255467082  |
|  15 |  0.0958567198154  |  0.430158153696  | 0.000145557264303 |  1.13585961156   |
|  16 |  0.0612238734357  |   1.0446330471   | 0.000102116584446 |  0.850775746843  |
|  17 |  0.00904082793995 | 0.0410907985413  | 0.000196394532802 | 0.0699008087038  |
|  18 |  0.0743347679515  |  0.780564582163  | 7.51603626146e-05 |  0.765616167132  |
|  19 |   0.139163829675  |  1.46316727768   | 7.22245537804e-05 |  1.75402355562   |
|  20 | 0.000323348838748 | 0.00653968204548 |  0.00063084477982 | 0.00396580330105 |
|  21 |   0.244482629013  |  7.04644492998   |  0.00710339799656 |  3.79936880012   |
|  22 |  0.0764815129271  |  0.999571714546  |  0.00131334188091 |  1.26483159627   |
|  23 |  0.0105630427821  |  0.120883932123  | 0.000285369617409 |  0.136540644854  |
|  24 |   0.032112139688  |  0.218927584709  | 7.93569776269e-05 |  0.308846702312  |
|  25 |  0.0204885247793  |  0.198682902526  | 7.63524945109e-05 |  0.272600501587  |
|  26 |   0.154739667493  |  2.00869985856   | 6.69992535595e-05 |  3.10902905228   |
|  27 |   0.112137308303  |  1.21238656579   |  0.00012279734794 |  1.03398276884   |
|  28 |  0.00982425432975 |  0.069276970921  | 0.000171174789094 | 0.0875750890875  |
|  29 |   0.065388653867  |  0.895152930594  |  0.0008159272046  |  0.89832418598   |
|  30 |   0.08290898132   |  1.34130579031   | 6.76975375199e-05 |  1.04865530147   |
|  31 |  0.00121204912675 | 0.0153149774035  | 0.000172381224962 | 0.0116461518299  |
|  32 |   0.36407249969   |  0.785020129794  | 3.01160124734e-05 |  9.17527100118   |
|  33 |  0.0164137876157  |  0.137263310597  | 0.000157798810093 |  0.181913793699  |
