K2_Time,Filter,Raw,RB,Sky,Error
3264.737586,g,6716.360859,7.615883,20687.0332,34.90597
3264.75802,g,6742.663643,6.369608,20671.63281,34.912913
3264.778454,g,6736.901817,6.335277,20652.50781,34.897062
3264.798887,g,6745.807988,6.155703,20631.61133,34.889423
3264.819321,g,6735.220433,6.40249,20616.80078,34.873236
3264.839755,g,6694.399731,7.733935,20582.06055,34.825033
3264.860188,g,0,0,20583.74219,0
3264.880622,g,6768.716524,4.753435,20575.35938,34.86817
3264.901055,g,6708.804462,6.909031,20574.28516,34.829265
3264.921489,g,6740.870783,5.829888,20566.86328,34.844992
3264.941923,g,6733.192301,6.16674,20557.76953,34.834289
3264.962356,g,6715.092093,6.053091,20556.99609,34.822242
3264.98279,g,6749.262342,5.506232,20544.53906,34.836101
3265.003223,g,6718.058101,7.447505,20531.28711,34.807719
3265.023657,g,0,0,20528.38086,0
3265.044091,g,6712.725207,6.537927,20511.15039,34.791448
3265.064524,g,6720.051396,7.068362,20497.76953,34.787579
3265.084958,g,6743.878089,5.056398,20494.78125,34.800894
3265.105391,g,0,0,20482.3418,0
3265.125825,g,6695.583616,6.449229,20459.57617,34.747512
3265.146259,g,6689.284526,7.481047,20444.89063,34.734084
3265.166692,g,6737.937265,5.30556,20433.82813,34.758135
3265.187126,g,6679.935341,7.338287,20418.87695,34.711442
3265.207559,g,6619.896151,10.526192,20407.76953,34.665846
3265.227993,g,6738.703623,5.755463,20408.24805,34.74226
3265.248427,g,6757.448148,4.783791,20382.0625,34.737498
3265.26886,g,6725.409735,7.078418,20347.54297,34.694876
3265.289294,g,6739.429718,6.678113,20325.0625,34.689455
3265.309727,g,6739.041524,6.999664,20287.89844,34.66538
3265.330161,g,6783.593608,4.14505,20314.92188,34.711252
3265.350595,g,0,0,20411.60156,0
3265.371028,g,6725.505981,5.524125,20412.50781,34.73654
3265.452763,g,0,0,20334.92188,0
3265.473196,g,6736.108878,6.135,20329.55273,34.690204
3265.49363,g,6707.098303,6.188877,20315.75,34.662756
3265.514064,g,6752.342124,4.847157,20296.23438,34.679253
3265.534497,g,6702.301319,7.439147,20267.75781,34.628883
3265.554931,g,6769.499663,4.842957,20261.03906,34.667688
3265.575364,g,6722.196781,5.795428,20257.32031,34.634954
3265.595798,g,0,0,20261.06641,0
3265.616232,g,6703.087227,4.49545,20263.99414,34.626971
3265.636665,g,6664.723466,7.179876,20272.33398,34.60769
3265.657099,g,6711.255221,3.905104,20246.50781,34.620988
3265.677532,g,6704.915656,5.474843,20213.30078,34.595585
3265.697966,g,6697.740393,5.56428,20224.35938,34.59808
3265.7184,g,6693.482376,6.418921,20218.375,34.591498
3265.738833,g,0,0,20236.20313,0
3265.759267,g,6720.617443,7.61894,20129.43945,34.551757
3265.7797,g,6716.126062,5.831243,20087.07813,34.521598
3265.800134,g,6749.207873,4.846464,20047.10547,34.51716
3265.820568,g,6734.746022,5.478978,20029.14648,34.496273
3265.841001,g,0,0,19880.89063,0
3265.861435,g,0,0,19905.12891,0
3265.881868,g,6700.733753,5.692803,19940.84375,34.417356
3265.902302,g,6706.295832,5.565213,19910.44531,34.401309
3265.922736,g,6707.082915,5.412953,19919.47852,34.407655
3265.943169,g,6659.408836,6.87448,19937.76367,34.388661
3265.963603,g,6744.16055,4.327068,19891.50977,34.41354
3265.984036,g,6670.905031,14.016366,20258.81836,34.602978
3266.00447,g,6657.316062,10.116265,20157.07813,34.528803
3266.024904,g,6669.35529,10.817018,20045.7832,34.464838
3266.045337,g,6711.710249,5.586227,19798.85156,34.332624
3266.065771,g,6745.007898,5.330455,19715.74805,34.300358
3266.086204,g,6741.848751,4.726415,19705.2793,34.291524
3266.106638,g,6718.371922,6.041392,19678.44922,34.258895
3266.127072,g,6773.753054,4.024951,19666.3418,34.286964
3266.147505,g,6750.397165,5.106317,19638.80859,34.253953
3266.167939,g,6725.519101,6.006277,19633.82813,34.234568
3266.188372,g,6770.548994,4.846648,19614.22852,34.251078
3266.208806,g,6748.892179,5.871091,19598.01563,34.22649
3266.22924,g,6741.510563,5.82152,19582.35938,34.211522
3266.249673,g,6773.201071,3.83312,19570.10547,34.22415
3266.270107,g,6739.733256,5.403051,19539.73047,34.182654
3266.290541,g,6710.044338,5.027015,19525.32422,34.153964
3266.310974,g,6693.37514,5.723897,19498.51953,34.125655
3266.331408,g,0,0,19481.22852,0
3266.351841,g,0,0,19463.9375,0
3266.372275,g,6705.072425,5.417657,19460.94922,34.108795
3266.392709,g,6710.224689,5.289553,19444.24219,34.101263
3266.413142,g,6706.317779,6.191086,19414.92969,34.0796
3266.433576,g,6704.89213,5.881286,19397.52344,34.067313
3266.454009,g,6659.999671,9.035262,19373.96875,34.022617
3266.474443,g,6718.756183,6.114386,19364.57031,34.054854
3266.494877,g,6725.970501,5.462779,19354.60352,34.053057
3266.51531,g,6747.87334,5.06882,19342.125,34.059209
3266.535744,g,6729.405229,5.924938,19323.96484,34.035292
3266.556177,g,6718.600657,5.944414,19308.86914,34.018371
3266.576611,g,0,0,19309.24414,0
3266.597045,g,6800.901882,4.357985,19274.81641,34.049887
3266.617478,g,6766.560899,4.057275,19279.44141,34.03048
3266.637912,g,0,0,19259.89258,0
3266.658345,g,6721.845121,5.558392,19245.18359,33.978849
3266.678779,g,6720.711752,5.332845,19239.89063,33.974644
3266.699213,g,6700.664129,5.744634,19224.46875,33.951427
3266.719646,g,6701.969689,6.081677,19205.50391,33.939861
3266.74008,g,6708.198103,4.933058,19212.95703,33.948822
3266.760513,g,6734.755873,5.178126,19167.82422,33.936656
3266.780947,g,6728.731311,5.238482,19158.37891,33.92652
3266.801381,g,6762.126696,5.544719,19147.69531,33.9414
3266.821814,g,6696.611373,6.330256,19121.21484,33.88109
3266.842248,g,6728.859583,5.871791,19128.54688,33.907051
3266.862681,g,6738.05178,5.032339,19103.4707,33.896635
3266.883115,g,6760.344616,4.533097,19079.37695,33.895453
3266.903549,g,6721.577546,6.168863,19080.21484,33.870567
3266.923982,g,6748.764137,4.572638,19078.39844,33.887215
3266.944416,g,6685.358533,8.397798,19051.46484,33.827897
3266.964849,g,6757.726616,5.407555,19046.47461,33.872148
3266.985283,g,6728.105407,5.875985,19029.2207,33.841369
3267.005717,g,6727.69615,7.046584,19018.97656,33.83437
3267.02615,g,6770.03788,5.851144,19006.84375,33.854213
3267.046584,g,6754.707637,5.131781,19000.37305,33.839894
3267.067017,g,0,0,19003.03906,0
3267.087451,g,6716.967258,6.354761,18978.20703,33.800515
3267.107885,g,6764.553506,4.437297,18957.15625,33.817963
3267.128318,g,6654.837602,8.175931,18995.41797,33.770958
3267.148752,g,6710.731685,5.627758,18936.00391,33.768641
3267.169186,g,6717.820278,5.599055,18923.63672,33.765165
3267.189619,g,6734.307596,5.185777,18906.06641,33.764452
3267.210053,g,6704.103349,6.306406,18881.01758,33.728053
3267.230486,g,6731.946005,5.613512,18880.08594,33.745786
3267.25092,g,6682.898403,6.817169,18856.79297,33.698095
3267.271353,g,6727.340651,5.615394,18851.79883,33.72411
3267.291787,g,6712.520791,6.35786,18834.31055,33.702805
3267.312221,g,0,0,18827.42578,0
3267.332654,g,6758.77578,5.090698,18799.58203,33.710408
3267.353088,g,6774.458163,4.432622,18789.90625,33.714369
3267.373522,g,6748.753027,5.914259,18782.90625,33.692796
3267.393955,g,6698.074456,6.761311,18757.05078,33.642259
3267.414389,g,6744.638407,5.188087,18743.50195,33.664069
3267.434822,g,6706.053157,5.468553,18734.24219,33.632458
3267.455256,g,6693.023323,7.482633,18715.78516,33.611638
3267.47569,g,6714.56404,6.202384,18691.73828,33.609981
3267.496123,g,6732.309314,4.492592,18698.53125,33.626208
3267.516557,g,6761.551696,5.967217,18680.32813,33.633505
3267.53699,g,6747.686227,5.133554,18657.625,33.609325
3267.557424,g,6713.140333,7.10297,18642.92773,33.576737
3267.577858,g,6728.375809,5.215506,18638.54102,33.583919
3267.598291,g,6717.962606,5.955799,18630.11328,33.571445
3267.618725,g,6748.212321,5.118533,18619.42969,33.584399
3267.639158,g,6783.170047,4.72079,18606.21289,33.598788
3267.659592,g,6722.883779,6.703187,18583.37305,33.54374
3267.680026,g,6764.212484,6.632163,18564.35352,33.558523
3267.700459,g,6738.801312,7.285453,18557.80469,33.537344
3267.720893,g,6735.158116,5.902174,18544.6875,33.526232
3267.741326,g,6749.909892,5.335428,18532.66992,33.528045
3267.76176,g,6734.958637,4.888116,18521.91992,33.510999
3267.782194,g,6711.73069,5.348878,18509.70703,33.487479
3267.802627,g,0,0,18493.91797,0
3267.823061,g,6694.412476,6.649166,18485.34961,33.4598
3267.843494,g,6742.444957,5.531545,18462.66211,33.476636
3267.863928,g,6688.825884,7.771391,18436.7168,33.423756
3267.884362,g,6704.122141,7.238023,18420.93359,33.423433
3267.904795,g,6675.213386,8.040647,18404.16602,33.393038
3267.925229,g,6699.648478,7.56425,18394.51953,33.402882
3267.945662,g,6708.306818,7.645497,18374.29883,33.395185
3267.966096,g,6728.989382,7.209425,18368.84961,33.405325
3267.98653,g,6732.163832,7.110508,18366.99805,33.406205
3268.006963,g,6743.951606,5.835544,18365.90039,33.413318
3268.027397,g,6728.794766,8.014116,18329.46484,33.378974
3268.04783,g,0,0,18334.3457,0
3268.068264,g,6731.747474,6.131423,18326.3125,33.378841
3268.088698,g,6728.851507,5.296319,18320.14063,33.372801
3268.109131,g,6748.958722,4.521466,18299.04688,33.372144
3268.129565,g,6772.261119,4.311691,18274.36719,33.371226
3268.149999,g,6696.485761,7.541505,18268.40234,33.316728
3268.170432,g,6767.73133,4.602201,18258.75391,33.357805
3268.190866,g,6755.799192,5.14073,18243.4375,33.33964
3268.211299,g,6785.221932,4.668413,18221.02734,33.344316
3268.231733,g,6767.250173,4.575073,18219.45117,33.33128
3268.252167,g,6805.508828,4.087829,18205.50781,33.347494
3268.2726,g,6739.208871,6.226305,18189.79883,33.292778
3268.293034,g,0,0,18172.84766,0
3268.313467,g,6765.947999,5.217893,18155.89648,33.287994
3268.333901,g,6754.754655,5.183114,18152.32227,33.27813
3268.354335,g,6751.421874,5.066907,18144.82422,33.270894
3268.374768,g,6794.12908,4.859218,18123.32422,33.285061
3268.395202,g,6770.932756,4.869356,18114.19727,33.263465
3268.415635,g,6758.069468,5.137075,18104.95313,33.248687
3268.436069,g,6780.580301,5.472658,18085.53711,33.250756
3268.456503,g,6775.315829,5.188236,18082.7207,33.245353
3268.476936,g,6792.615291,4.65792,18068.1543,33.24718
3268.49737,g,6793.747177,5.01521,18055.97266,33.239791
3268.517803,g,6787.853689,5.624547,18050.76758,33.232367
3268.538237,g,0,0,18025.61719,0
3268.558671,g,6737.324376,5.055086,18023.58203,33.180338
3268.579104,g,6755.656214,4.789037,18009.86133,33.183427
3268.599538,g,6836.815457,7.110136,17990.88672,33.225062
3268.619972,g,6751.650467,5.498456,17979.7832,33.160585
3268.640405,g,6723.023506,5.778619,17973.69141,33.137301
3268.660839,g,6735.910005,5.643265,17971.55859,33.144514
3268.681272,g,6681.006171,7.560518,17955.70117,33.097018
3268.701706,g,6734.686674,5.501196,17941.09961,33.123257
3268.722139,g,6772.845381,5.477233,17923.64844,33.137152
3268.742573,g,6759.067145,5.061914,17921.76953,33.126646
3268.763007,g,6772.636871,4.268141,17912.12891,33.129283
3268.78344,g,0,0,17900.34766,0
3268.803874,g,6796.120699,4.020779,17891.78906,33.131393
3268.824307,g,6813.574955,3.81618,17872.76563,33.13034
3268.844741,g,6775.479565,4.595309,17860.70313,33.096665
3268.865175,g,6784.168385,4.741546,17850.10156,33.095381
3268.885608,g,6751.23457,4.904398,17843.71289,33.068956
3268.906042,g,6765.549413,5.087313,17817.16602,33.060732
3268.926476,g,6763.685505,5.169766,17806.38672,33.052229
3268.946909,g,6741.554217,5.463387,17804.00977,33.03574
3268.967343,g,6744.845406,5.288966,17789.37695,33.028107
3268.987776,g,6718.517704,5.059344,17787.40234,33.009051
3269.00821,g,6733.330485,5.350488,17768.78906,33.006491
3269.028644,g,6745.729744,4.782529,17755.50391,33.005895
3269.049077,g,6762.621722,4.808903,17742.14844,33.008277
3269.069511,g,6724.07809,5.745399,17740.30859,32.981067
3269.089944,g,6720.665153,6.676069,17718,32.963724
3269.110378,g,6764.97881,5.556973,17700.40039,32.981736
3269.130812,g,6781.13827,4.523251,17694.25781,32.988487
3269.151245,g,6722.951988,6.250504,17697.52734,32.951457
3269.171679,g,6794.302829,4.649159,17685,32.99112
3269.192112,g,6753.029656,6.212654,17670.73828,32.953676
3269.212546,g,6773.420993,4.813135,17668.1875,32.965709
3269.23298,g,6779.970794,5.854072,17635.39453,32.948007
3269.253413,g,6784.981574,4.972966,17638.50781,32.953488
3269.273847,g,0,0,17625.79883,0
3269.29428,g,6734.04669,5.193561,17606.90625,32.897759
3269.314714,g,6762.469715,5.378622,17598.77734,32.911471
3269.335148,g,6735.227972,5.963126,17573.67383,32.876093
3269.355581,g,6748.354483,5.029131,17584.42188,32.892234
3269.376015,g,6752.99415,5.319525,17567.53906,32.883958
3269.396448,g,6757.486916,5.164838,17562.32031,32.883467
3269.416882,g,6756.632238,5.583337,17537.65234,32.866207
3269.437316,g,6752.721718,5.946986,17533.56055,32.860794
3269.457749,g,6736.87242,5.782643,17534.50391,32.850708
3269.478183,g,6753.079295,6.517863,17514.54297,32.848167
3269.498616,g,6757.821885,6.528577,17501.51953,32.842563
3269.51905,g,6800.357574,5.51522,17485.57031,32.860554
3269.539484,g,6784.609597,5.584138,17473.125,32.841475
3269.559917,g,6777.94062,6.214828,17466.03516,32.83216
3269.580351,g,6780.649263,6.228389,17461.97656,32.831246
3269.600785,g,6786.471444,5.65311,17444.12891,32.823102
3269.621218,g,6799.901316,6.434079,17434.37109,32.825589
3269.641652,g,6809.923137,3.999236,17434.33203,32.832349
3269.662085,g,6740.501818,5.953835,17412.04883,32.770196
3269.682519,g,6723.460583,6.789863,17402.4707,32.752132
3269.702953,g,6724.141925,6.089883,17386.67969,32.741874
3269.723386,g,6675.269753,6.18048,17380.12891,32.704221
3269.74382,g,6653.256572,6.480851,17381.55273,32.690222
3269.764253,g,0,0,17361.46484,0
3269.784687,g,6754.568815,5.402022,17363.23828,32.746617
3269.805121,g,6769.925113,5.507105,17347.98828,32.746689
3269.825554,g,6784.139732,5.107658,17331.86328,32.745392
3269.845988,g,6775.521455,5.658443,17327.05469,32.736275
3269.866421,g,6785.607776,6.081462,17311.0625,32.732264
3269.886855,g,6825.670569,4.252444,17314.68555,32.761922
3269.907289,g,6812.892774,4.373625,17303.64453,32.745755
3269.927722,g,6800.222688,5.573264,17279.93945,32.72105
3269.948156,g,6786.256013,5.711416,17268.50977,32.703791
3269.968589,g,6807.443525,4.501676,17283.12695,32.728121
3269.989023,g,6772.858326,6.04792,17249.93359,32.682049
3270.009457,g,0,0,17258.10938,0
3270.02989,g,6832.767877,3.728014,17250.22656,32.722975
3270.050324,g,6787.401105,4.999338,17235.33008,32.682007
3270.070757,g,6788.78412,4.167902,17232.33984,32.680914
3270.091191,g,6773.667967,5.168237,17209.26563,32.654925
3270.111625,g,6775.862097,5.08394,17196.52148,32.647741
3270.132058,g,6760.96581,5.654541,17187.85547,32.631693
3270.152492,g,6777.968397,4.595192,17179.23242,32.637401
3270.172925,g,6781.686884,4.934166,17159.08398,32.626208
3270.193359,g,6777.113395,3.872169,17158.36719,32.622603
3270.213793,g,6748.395214,6.407151,17142.50977,32.592212
3270.234226,g,6799.964944,5.498702,17133.92188,32.621517
3270.25466,g,0,0,17127.13477,0
3270.275093,g,0,0,17120.35156,0
3270.295527,g,6770.479673,5.014925,17112.71484,32.586952
3270.315961,g,6780.706006,4.939258,17092.57617,32.580189
3270.336394,g,6777.762229,4.694091,17082.86328,32.571551
3270.356828,g,6748.251119,4.921724,17078.40234,32.548356
3270.377262,g,6767.335449,5.815524,17064.26563,32.551735
3270.397695,g,6779.430829,5.209002,17046.35547,32.547764
3270.418129,g,6776.552516,5.354657,17039.27539,32.540961
3270.438562,g,6754.841673,5.962082,17032.55859,32.521534
3270.458996,g,6751.938468,6.255838,17013.01367,32.506185
3270.47943,g,6780.998583,5.799736,17003.49805,32.519549
3270.499863,g,6790.438008,4.655599,17001.25195,32.524466
3270.520297,g,6777.876955,5.898306,16990.97266,32.508851
3270.54073,g,6814.617083,5.148065,16971.94531,32.520961
3270.561164,g,6759.784929,6.569441,16971.03516,32.482833
3270.581598,g,6799.043401,6.051971,16957.38867,32.500358
3270.602031,g,6819.788117,6.243224,16934.83008,32.499117
3270.622465,g,6806.784507,6.066272,16925.48633,32.483826
3270.642898,g,6814.267941,6.01511,16917.30469,32.483349
3270.663332,g,6801.311246,5.977342,16918.59961,32.475366
3270.683766,g,6790.902336,5.651277,16912.9707,32.464386
3270.704199,g,6805.57052,5.735665,16890.57422,32.459093
3270.724633,g,6786.599397,6.259799,16878.54883,32.437856
3270.745066,g,0,0,16883.43555,0
3270.7655,g,6747.697113,6.623329,16880.78906,32.41272
3270.785934,g,6771.935963,5.543625,16863.86523,32.417737
3270.806367,g,6738.939835,6.479965,16861.74805,32.393648
3270.826801,g,6761.349567,6.119738,16846.94922,32.398871
3270.847234,g,6768.444297,6.563763,16826.24219,32.389529
3270.867668,g,6833.726312,4.881045,16817.11719,32.428051
3270.888102,g,6833.336781,4.450278,16821.2168,32.430595
3270.908535,g,0,0,16793.67578,0
3270.928969,g,6799.554973,6.93197,16783.38867,32.381468
3270.949402,g,6833.72235,5.093278,16794.74609,32.412708
3270.969836,g,6830.256314,7.248719,16755.02734,32.383075
3270.99027,g,0,0,16763.95508,0
3271.010703,g,6777.350468,6.634563,16761.25391,32.351013
3271.031137,g,6745.457058,6.421472,16751.01758,32.322049
3271.05157,g,6758.450341,6.413515,16743.17969,32.325595
3271.072004,g,6777.067521,6.236884,16728.48438,32.328292
3271.092438,g,6770.447288,5.556476,16725.83398,32.321916
3271.112871,g,6788.691622,4.807752,16726.15039,32.33468
3271.133305,g,6783.2118,5.213573,16713.29492,32.322071
3271.153739,g,6805.901572,5.000283,16702.64844,32.330354
3271.174172,g,6786.707561,6.212614,16683.00391,32.303636
3271.194606,g,6802.089968,5.659781,16674.51172,32.308377
3271.215039,g,6802.086134,5.984737,16662.50195,32.30011
3271.235473,g,0,0,16673.3457,0
3271.255907,g,6783.929967,6.302721,16656.33789,32.283367
3271.27634,g,6794.3142,5.628341,16637,32.2772
3271.296774,g,6821.209436,5.308566,16624.42188,32.28706
3271.317207,g,6809.763959,4.431624,16631.87109,32.284308
3271.337641,g,6807.226721,5.454435,16598.28906,32.259426
3271.358074,g,6813.73456,4.591484,16598.24414,32.26388
3271.378508,g,6781.123524,5.079094,16597.84766,32.241128
3271.398942,g,6801.673664,4.450319,16583.42383,32.245352
3271.419375,g,6743.955036,6.894765,16591.54883,32.211142
3271.439809,g,6783.463103,5.713915,16565.96289,32.220749
3271.460243,g,6839.159565,4.069013,16561.16797,32.255851
3271.480676,g,6810.62292,5.021126,16549.41406,32.22807
3271.50111,g,6778.408952,6.910952,16538.22461,32.198116
3271.521543,g,6831.463329,5.560687,16532.18945,32.230564
3271.541977,g,6799.593348,6.895059,16512.76758,32.195165
3271.562411,g,6835.278255,5.254632,16503.79102,32.213603
3271.582844,g,6849.785351,4.934545,16500.09766,32.221065
3271.603278,g,6844.445215,6.180422,16484.29688,32.206475
3271.623711,g,6815.128005,7.410226,16481.36719,32.184208
3271.644145,g,6883.052636,4.416038,16471.86914,32.224541
3271.664579,g,6826.829109,5.858545,16458.83398,32.176725
3271.685012,g,6810.366023,6.850801,16454.45703,32.162323
3271.705446,g,6774.41578,6.2929,16447.48828,32.132643
3271.725879,g,0,0,16452.23242,0
3271.746313,g,6791.987495,5.457362,16442.41016,32.141285
3271.766747,g,6816.925607,5.306895,16431.92578,32.151281
3271.78718,g,6759.757175,7.913905,16411.91406,32.09787
3271.807614,g,6824.887939,5.934232,16410.0957,32.141691
3271.828048,g,6866.757923,5.283978,16402.45898,32.16536
3271.848481,g,6810.813484,6.474655,16390.89063,32.118664
3271.868915,g,6859.817805,5.791287,16368.17383,32.136854
3271.889348,g,6828.955211,6.78052,16363.01758,32.111928
3271.909782,g,6855.008786,5.041807,16351.82031,32.122211
3271.930216,g,6808.368546,6.590716,16333.70215,32.077362
3271.950649,g,6819.650147,5.890688,16325.33008,32.079378
3271.971083,g,0,0,16327.71387,0
3271.991516,g,6831.465345,4.291193,16335.50098,32.094611
3272.01195,g,6783.566465,6.591557,16323.79883,32.0533
3272.032383,g,6831.158395,6.633708,16309.93848,32.076687
3272.052817,g,6828.364476,6.043835,16291.33398,32.061853
3272.073251,g,6826.941235,5.811622,16299.86133,32.066778
3272.093684,g,6845.875693,5.897483,16282.83496,32.068101
3272.114118,g,6822.68036,7.894725,16270.99023,32.0438
3272.134551,g,6852.145466,6.604267,16261.64746,32.057758
3272.154985,g,6808.365299,6.801634,16256.33106,32.023692
3272.175419,g,6788.068203,7.114517,16239.83789,31.998142
3272.195852,g,6779.044379,5.904998,16250.34375,31.999171
3272.216286,g,0,0,16247.9082,0
3272.23672,g,6797.373373,5.149136,16245.47168,32.008519
3272.257153,g,6841.698082,3.72655,16231.22852,32.029405
3272.277587,g,6851.963915,3.803814,16224.23633,32.031677
3272.29802,g,6824.422366,4.156394,16205.87207,31.999801
3272.318454,g,6818.079276,5.041382,16201.16113,31.99212
3272.338888,g,6784.820739,5.4342,16194.52637,31.964387
